,V1,V2
france,2.2079537,2.5211523
pays,2.5169036,2.101013
français,2.231051,2.610719
président,1.3865507,3.6174746
état,2.8264604,1.8338035
ministre,3.0923266,1.845907
sputnik,1.715409,3.4651973
macron,-0.4778955,5.8329353
cas,2.9300663,2.1613493
gouvernement,2.7481318,2.2019756
russie,3.096837,1.497109
politique,2.396438,2.5532198
janvier,2.4279335,2.6697748
mars,2.5300727,2.3081932
nombre,2.5795105,2.036256
santé,3.087724,1.6294085
mois,3.249969,1.7576551
avril,2.5781546,2.368494
situation,3.3597753,1.6086906
monde,2.7984405,2.4584954
mai,2.0961974,3.0732954
place,2.8346477,2.356222
face,2.8001702,2.2562084
police,1.8737602,3.0854092
dernier,2.3577256,2.7598994
fois,2.2392275,2.9625723
octobre,2.3897698,2.3477929
russe,3.7586994,1.4107006
chef,2.929856,2.067632
emmanuel,-1.6009312,7.601792
crise,2.6705458,2.1125178
fin,2.8389218,2.067571
sécurité,2.7966185,2.4273262
juillet,2.6478395,2.579247
juin,2.5780168,2.6464188
décembre,2.7079263,2.503184
septembre,3.483192,1.806978
europe,2.6914718,2.4119084
février,2.8530056,2.4986463
août,3.244977,2.0578456
part,2.7396502,2.422884
coronavirus,2.4973543,2.0518644
novembre,2.5486126,2.7704139
sanitaire,5.1663046,-0.16053337
partie,2.6971133,2.7117014
algérie,2.670361,2.1337879
début,2.877299,2.3516183
temps,2.852082,2.3586118
jour,2.6089702,2.4647157
question,2.637796,2.4359572
armée,2.1929245,2.9660082
ministère,3.2960067,1.3508724
général,3.267656,2.0190935
conseil,2.3157299,2.438915
afp,2.7081394,2.4281778
homme,2.9551995,2.121419
suite,2.457803,2.8355155
république,1.8942277,2.869298
ville,2.5113873,2.65938
ordre,2.5629902,2.4260397
région,2.8288841,2.4807935
lieu,3.4035158,1.5911636
chine,3.0355008,2.007111
grand,2.5441263,3.2563033
compte,2.4808626,2.9082725
année,3.234937,1.8665262
presse,3.1714742,1.6748931
intérieur,2.9476285,1.4478934
accord,2.7856562,2.4209616
moment,2.7936006,2.632086
vaccination,3.773344,1.2459323
groupe,2.6947587,2.4281008
épidémie,2.187264,2.6337852
enquête,3.0379937,2.2504542
guerre,2.7207434,2.4938362
vaccin,3.8806627,1.0446018
rapport,2.9545898,2.4711037
côté,2.4484947,3.0340219
communiqué,3.0935106,2.1981363
loi,2.1963499,2.9257834
cause,2.654164,3.0442164
ancien,2.0766213,2.9260576
vie,2.9533155,2.3805604
samedi,3.1615644,1.6212224
semaine,2.8322396,2.4779334
décision,3.026951,2.4874523
point,2.860055,2.4151762
maire,2.8145423,2.800654
national,2.2546191,3.005743
allemagne,2.774098,2.1034098
cadre,2.6127427,2.7188745
raison,3.356802,2.0188076
propos,2.2785745,2.8735633
cours,3.1172316,1.8001876
militaire,2.8129132,2.0283659
mort,2.737248,2.3165812
photo,3.8793259,2.1329188
affaire,2.5367017,2.6866744
virus,3.225742,2.0488393
projet,2.0476475,3.16367
travail,3.1201591,2.2853043
américain,2.8339,2.8354485
base,2.326668,3.3723037
mouvement,2.5332732,2.7379663
soutien,2.2037435,3.0084126
niveau,2.8060238,2.2507892
afrique,2.9312484,2.07336
population,3.3717575,1.7423601
problème,2.8776028,2.7550175
site,2.8759973,2.545439
économique,2.7097614,2.3553486
droit,2.95964,2.190719
union,2.989928,2.1171296
maroc,3.0306368,2.3487513
centre,2.905586,2.8921049
dimanche,2.5807345,2.145822
fait,2.5642507,2.7001975
jeune,2.3154476,2.805816
lundi,2.543763,2.4634972
risque,2.985838,2.5894275
société,2.6576736,2.8736312
organisation,2.6085353,2.2749865
parti,2.3526685,3.147175
acte,3.7925248,2.1236856
justice,2.5895407,2.21958
moscou,2.918188,1.6821154
an,2.6861417,2.4035172
service,2.8152473,2.2417018
mise,2.9935174,1.8122556
ue,2.8011434,2.2066038
défense,2.7735584,1.718632
campagne,2.8436596,2.334558
vidéo,1.8846451,3.091332
femme,2.7577162,2.3074546
iran,2.5123684,2.6255536
exemple,2.9322793,2.6524122
trump,2.4101799,2.6684046
agence,2.5741687,2.282586
économie,2.7845862,2.2459934
turquie,2.538858,2.4222958
vue,2.842966,1.8520837
plan,2.3021526,2.659979
nord,3.084586,2.0916784
système,3.0007043,2.3642218
nouveau,2.8862948,2.1386802
manière,2.573799,2.7076714
ensemble,3.054383,2.057043
position,2.5204146,2.3838305
garde,2.7893846,2.119501
public,3.1908977,1.7392449
mesure,1.9570683,2.6807137
directeur,2.3639386,2.321054
quotidien,2.836664,2.2598448
variant,3.0429034,2.7674541
contrôle,3.1390092,1.9172336
zone,2.9970949,2.2362168
liberté,2.9303308,1.7877232
territoire,2.9926264,1.8913461
prix,3.4207501,2.2725537
parisien,2.10051,2.8121722
urgence,3.0034604,1.3744714
décès,2.3919084,2.164415
jeudi,2.1341922,2.495176
histoire,2.735491,2.5778985
sein,2.763548,2.367931
mardi,2.248903,1.9868778
tête,2.1263087,2.5583315
taux,2.9758747,2.611534
protection,3.2210863,1.7007667
sujet,2.0891306,3.0080383
journaliste,2.7325501,2.7688146
pouvoir,2.830815,2.3697555
feu,3.1015582,2.5543134
tour,2.3272183,2.9659672
hôpital,2.6662207,2.1136234
attaque,2.5785246,2.3620317
étude,2.4621959,2.202464
pandémie,2.3857794,2.3526387
vague,2.5717013,2.4447372
aide,2.8314626,2.1416466
commission,2.5447648,2.4273605
françois,2.7018678,2.8944075
confinement,2.5924485,1.7110159
ligne,2.4650946,2.879549
important,2.7451851,1.7223861
nom,2.9570515,2.205947
force,2.3514574,2.750628
européen,2.3710196,2.348547
vendredi,2.1638885,2.283715
lutte,2.4828482,2.6108155
micro,1.4715062,2.8902304
action,2.5498562,2.3776824
réponse,2.3109345,2.2919147
violence,2.3640647,2.0910075
association,3.1484437,2.4504666
marché,2.707543,2.3155687
institut,2.6835618,2.515224
total,2.8287055,1.6655813
menace,2.8488662,1.6107169
demande,2.514057,1.9655842
gauche,2.1182637,2.9921713
terme,2.5241067,2.5748742
libye,2.611847,2.1181698
italie,2.2675982,1.9497246
journal,2.0079296,2.8972025
premier,2.1266716,2.2420883
liste,1.9814477,2.6541085
bleu,2.5849178,2.5166004
contexte,2.2050762,2.254608
éric,2.7000613,2.3899162
heure,2.705739,1.9992195
mercredi,2.0743122,2.2417817
période,2.750244,2.477412
secrétaire,2.360793,2.249631
besoin,2.2592638,2.3918192
discours,1.9969372,2.5455894
nuit,2.8008928,1.9271585
source,2.8894644,1.9287254
international,2.5039706,2.361506
train,2.4001648,2.351324
mali,2.6786237,1.8478338
opération,1.7789953,2.7716765
assemblée,2.6060965,2.2342966
personne,2.7458012,2.2074463
terroriste,2.61402,1.2092918
port,3.1013048,2.55554
pass,4.6369543,0.76119447
responsable,2.5209904,2.1340532
professeur,2.4766753,2.3721693
coopération,2.3630812,1.7049329
message,2.7343671,2.2271383
auteur,2.6858475,2.588035
été,2.4793997,2.0892045
manifestation,2.6501248,2.3219302
québec,1.8533852,2.9332235
sud,2.1625202,2.6371188
production,2.5751631,2.100124
stratégie,2.104576,2.321147
direction,2.4324033,2.571758
bilan,2.7248385,1.3859214
coup,2.579342,2.1870537
idée,2.5606003,2.0874352
développement,2.492545,2.0626385
hausse,2.2631633,1.6469982
débat,1.7893349,2.1859066
conférence,2.3729024,1.7207372
appel,2.515065,1.9437191
prise,2.711054,2.018819
député,2.0089488,2.4982011
entretien,2.146613,2.5432713
majorité,1.8745992,2.6477056
