,V1,V2
pays,1.9639044,2.8609104
france,2.1652534,1.7551109
président,2.4128895,1.0776598
iran,4.766835,-3.01234
afrique,2.0534933,6.20156
armée,1.9396825,3.4224946
français,2.7617617,0.1156877
état,2.06788,2.4933186
mali,2.0244074,6.109133
gouvernement,2.1746125,2.218779
russie,3.3711417,-1.0780276
militaire,2.1156986,1.7739499
guerre,2.3033874,1.4241871
région,1.9594884,2.590759
ministre,3.141249,-0.73857135
sécurité,2.5713055,0.44378114
accord,4.5508204,-2.7982488
défense,3.6165426,-1.5284514
source,4.118731,-2.2179227
politique,2.430918,1.2398816
macron,2.478465,1.0378584
russe,4.220542,-2.5336401
chine,3.6617067,-1.6594131
place,1.9857534,3.9083319
sahel,2.1189785,6.1988235
présence,1.9460615,3.9113731
américain,3.8642106,-1.9450593
israël,2.8253002,0.12587513
population,2.198452,6.201734
chef,2.696653,0.21893205
force,1.9371208,3.815111
nord,2.0292208,3.010526
monde,2.0876787,2.14885
face,1.9136512,3.1064477
washington,2.767629,0.1332795
syrie,3.0667307,-0.1571591
général,3.5208383,-1.4604901
situation,2.1042473,2.7528436
peuple,1.9021673,4.410156
nucléaire,6.838234,-4.7545447
iranien,5.61175,-3.9157214
base,2.2576084,1.7781165
otan,3.8304515,-1.7626452
partie,2.5823553,0.7097225
éthiopie,1.9420989,5.5953646
part,2.3471553,1.2338125
dernier,2.7284513,0.3386137
mois,2.594169,0.84146506
coup,1.8568833,4.3746862
occident,1.8237292,5.8316627
barkhane,2.2383928,7.034735
fois,2.2745204,1.8839825
fin,2.7171996,0.52654505
attaque,2.097502,2.148135
république,3.7887723,-1.8845899
cas,2.5862586,0.9972483
ministère,4.348426,-2.3185217
temps,2.1248968,2.557811
groupe,2.3095236,1.5989943
suite,2.1969976,1.753445
côte,1.6800102,6.4867525
axe,2.0573473,4.6896133
onu,2.0706022,2.8350067
burkina,2.2802992,8.716853
coopération,2.712337,-0.29902333
cadre,3.1951153,-0.6285348
occupation,2.1730645,6.147807
lieu,2.4203544,1.2042848
vidéo,2.206943,4.4464345
terrorisme,2.0118327,5.3634634
conseil,3.5698583,-1.6430539
résistance,1.9647027,3.2804766
cameroun,1.8747958,4.627549
europe,3.826962,-1.4388925
niger,1.9805472,6.0383434
golfe,4.2044067,-3.2143004
mer,4.7739534,-3.12698
mission,2.386778,1.1306149
grand,2.1321995,2.3681252
lutte,1.8242971,4.443588
guinée,1.7421775,3.754063
rapport,2.8034446,0.345997
cours,3.0601969,-0.39280707
territoire,2.0598,3.2730832
zone,2.224471,2.6657383
plan,2.6002114,0.8458766
opération,2.1010613,3.0689156
projet,2.5680702,0.8657977
question,2.4881966,1.2946137
communiqué,3.3236861,-0.7303675
crise,2.4029152,1.5093054
allemagne,4.147882,-2.1522157
union,2.466654,1.2683086
us,2.8075206,0.023408063
nouveau,2.5057878,0.76814973
sud,2.1702223,1.6539112
trump,5.084071,-3.6906776
actualité,2.6808944,7.784425
décision,3.4217877,-0.6768655
début,2.5127232,1.0084641
point,2.4634838,1.1148796
faso,2.457907,7.718034
islamique,4.653868,-2.9110923
visite,2.5069516,0.9058349
aide,1.9926225,2.856214
continent,1.9783369,6.14541
paix,2.226938,2.0065715
régime,3.326119,-1.1210548
emmanuel,3.3582115,-0.83690566
soutien,2.6920288,0.419518
sein,2.2498612,2.4120984
presse,3.9751475,-2.1565127
turquie,3.3760056,-0.89122516
mainstream,1.8997662,5.081523
algérie,2.0207036,2.367841
économique,2.4532387,1.0423919
rédaction,2.5588858,7.3202033
côté,2.0293312,2.3569233
international,3.3755987,-0.8340293
raison,2.7873333,0.36288062
samedi,2.8320098,0.58083594
retrait,2.7815475,0.65397656
usa,2.2579777,1.7069367
compte,2.4960124,1.4475217
jour,2.8113115,0.7414653
conflit,2.1346602,2.8872983
sujet,2.5865235,1.0325094
sénégal,1.7903327,3.7882998
ivoire,2.0659096,6.0129695
ouest,1.7601323,4.649514
ordre,2.7999794,0.31554204
ville,2.3974373,2.0900674
ambassadeur,2.6151612,0.32597116
nombre,2.713754,0.6973174
mouvement,2.5822957,1.7347921
pouvoir,2.1285686,2.9310396
cause,2.256446,2.2698572
octobre,3.0836751,0.13463838
soudan,1.9253565,3.3296566
liban,3.1810925,-0.389082
travers,2.131416,3.0976248
air,2.3405893,1.6454452
combat,2.7090926,0.55339104
daech,2.0514362,3.1305447
système,3.5881302,-0.71767163
centrafrique,1.8888301,4.5060663
irak,2.9448836,-0.08264262
moment,2.348356,1.9650844
novembre,3.080908,-0.14171523
semaine,2.9104218,-0.014137196
malien,2.0583515,4.470547
mise,2.7061548,0.48385134
mai,3.4019866,-0.64919287
téhéran,4.800641,-2.6680248
terroriste,2.0352194,3.0674367
janvier,2.730077,0.3400029
lundi,3.3224342,-0.45419723
africain,1.9073361,5.1596055
site,3.4012883,-0.64377934
jeudi,3.0645242,0.03190222
arabie,4.614904,-2.6681182
information,2.392181,1.1739016
vendredi,3.1045806,-0.0846834
pression,2.4278347,1.3137783
hezbollah,3.2337031,-0.44382113
programme,5.2173233,-3.266389
coalition,2.8215022,0.19097322
moscou,3.6233644,-1.1122749
centre,2.4795766,1.6798446
article,2.4537697,1.2343603
contrôle,2.3487818,2.0669963
puissance,2.3184695,1.6004872
occidental,2.0933542,5.2669773
mercredi,3.3753445,-0.5852829
décembre,3.0551896,-0.03171876
pétrole,3.821799,-1.6728625
agence,4.48244,-2.3315976
libye,2.1900775,2.1521964
mardi,3.1158764,-0.283665
propos,3.0193214,-0.017210279
développement,2.748781,0.6238131
niveau,2.5921533,1.2081202
année,3.4318311,-0.5277036
fait,2.2921727,2.403509
volonté,2.2398763,2.4272594
manière,2.498295,1.3496066
rdc,2.085086,4.1780863
marine,4.2283845,-2.0109773
homme,2.341047,2.0434468
stratégique,2.928405,0.48052546
frontière,2.1493287,2.8257325
communauté,2.1364892,2.7094848
objectif,2.7267785,0.9502604
tchad,1.8583784,4.9973474
août,3.138845,0.357607
chinois,3.5026643,-0.8891533
capitale,2.463044,1.292161
avril,3.2200136,-0.3756821
police,3.0673256,0.3201088
échec,2.244246,3.1159322
juin,3.110779,0.0020669675
israélien,3.4456747,-0.93162423
droit,3.0766242,0.009976435
secrétaire,3.647638,-0.86606187
septembre,3.0343142,0.29284942
société,2.8036568,0.7408475
gaz,3.587561,-0.91828144
organisation,2.9455147,0.13342911
processus,2.3526075,2.3708203
réunion,3.6128223,-1.3137676
position,2.651766,0.5567807
rfi,1.8312473,3.572624
dimanche,2.8530076,0.3766206
administration,3.810134,-1.370622
mars,3.0977676,-0.045755483
alliance,2.7313962,0.9414726
affaire,2.4077487,1.6776386
but,2.2976704,2.200499
menace,2.8122063,0.40473834
souveraineté,2.1460507,2.5730348
juillet,3.6651175,-0.78840965
action,3.1521614,0.031826824
persique,3.7030926,-0.3675424
mort,2.3123207,1.8085567
chose,2.2570722,2.022092
maritime,3.2688615,-0.84610915
sputnik,3.9939435,-1.3664144
tête,2.2924197,2.014081
loi,3.2506447,-0.3353875
regardez,3.2786856,0.032507528
ambassade,2.911157,0.39547622
février,2.8052967,0.1756177
occasion,2.8559213,0.47655967
ancien,2.7139661,0.8312594
rencontre,2.9845283,0.025598882
total,2.476208,1.4034177
national,2.9398055,0.95884156
genre,2.1918128,3.328074
clair,2.1451926,3.4127684
annonce,2.975898,-0.12714657
œuvre,2.5288703,0.6365012
déstabilisation,1.9606911,4.3053327
important,2.5974689,1.0158832
vie,2.6611874,1.8745413
mesure,2.945981,0.4142222
terrain,1.9874336,3.100005
prix,2.901417,0.96806335
garde,2.7547574,0.29194513
sommet,2.166176,2.221733
départ,2.1535537,3.3493838
navire,3.709637,-1.2399516
port,3.5048652,-0.6678308
libanais,2.9012294,0.053219765
yémen,2.7792995,0.30327874
transition,2.286779,1.7333157
mozambique,1.8815955,3.5852816
rca,1.8279498,3.723685
rôle,2.9029849,0.8432616
vue,2.5490057,1.4687865
tigré,2.1429026,3.9578357
libération,1.9315139,2.9858186
exercice,3.2648656,-0.55308616
demande,2.554948,1.3526498
réponse,2.6758816,0.20001669
éthiopien,2.1963127,2.946881
camerounais,2.189959,2.9342692
appel,2.7009318,0.7899244
sommaire,2.4434557,0.73135024
missile,4.299186,-1.8486606
besoin,2.4019825,1.7945166
dialogue,2.7193496,0.4064964
avion,2.8833132,0.07345738
sécuritaire,2.2348776,2.0479412
journal,3.3369017,-0.23717177
campagne,2.4368856,1.5699468
coronavirus,3.4077706,0.03746497
sioniste,3.3653915,-0.28637466
minusca,2.4863224,2.9522448
an,2.9954143,-0.014876381
formation,2.6154366,0.88204813
contre,2.1991498,3.4935021
exemple,2.650904,1.4323288
pgac,4.9373884,-2.8870099
enquête,2.88042,1.1708769
centrafricain,2.0771997,2.5506942
britannique,3.650633,-0.8128378
déploiement,2.4115262,1.4569478
ensemble,2.5704913,1.7000698
conférence,3.3972936,-0.50005573
amérique,2.5464156,0.68736196
service,3.401097,-0.12426227
intervention,2.459569,1.6530049
commandant,3.312959,-0.41241425
économie,2.6076775,0.74979335
nom,2.8667243,0.837518
influence,2.152164,2.018428
main,2.2670488,2.663467
message,2.702416,1.0646833
déclaration,3.3771586,-0.7380362
michel,3.0290284,0.6005155
grâce,2.5486186,1.5230999
stratégie,2.1908019,1.8088967
cible,2.28729,1.6222082
commission,3.5020385,-0.61718047
camp,2.0796049,2.7302184
terme,2.555865,1.4848309
premier,2.880864,0.9356277
initiative,2.5453732,0.9658235
production,3.3384893,-0.29614678
élysée,2.4462543,1.4964337
arrivée,2.3095303,2.400364
renseignement,2.7333045,0.14623877
drian,2.731788,0.24791072
front,2.5820947,1.5011691
youtube,2.2825062,2.994913
haut,3.0938456,-0.17525986
ue,3.3565996,-0.5195594
train,2.4068632,2.1965137
prétexte,2.1770573,1.6189659
révolution,4.294277,-2.5329258
homologue,3.570888,-0.62113005
donald,4.664609,-2.43382
ong,2.2289371,3.2450955
province,2.8084626,1.2118785
accès,2.7971125,0.6853394
