,V1,V2
france,3.7690356,-0.65031946
français,4.180123,-0.24605708
pays,3.9600556,-1.271772
homme,3.958157,0.11803106
police,3.895569,-1.4252405
mois,3.8438737,-1.1913373
jeune,3.927828,0.031510845
monde,4.0410676,-0.9233765
zemmour,3.823456,-0.07162879
place,3.9794512,-1.7062178
dernier,3.8636985,-0.5243646
politique,4.090943,-0.7450604
président,4.2811284,-0.9510157
july,4.8617754,-0.91832143
situation,3.733792,-1.2313833
presse,3.6608286,-2.0655015
enquête,3.936176,-1.3739372
état,3.779375,-1.0460001
vendredi,3.9060411,-1.0909595
ministre,3.9902158,-1.4829801
macron,3.4735293,-0.39449933
république,3.498178,-1.6973996
fois,4.045541,-0.8636706
immigration,3.5969136,0.020211214
groupe,4.3255053,-0.3333021
bfmtv,3.7073374,-0.5588887
islam,4.263489,-1.0371684
prison,3.6810436,-1.4513333
lundi,4.0449357,-1.0852814
partie,4.2428174,-0.44220763
grand,4.479659,-1.0447018
cours,3.6375206,-1.5372111
dimanche,3.605741,-0.54440653
femme,3.8191538,0.098846525
mardi,3.7405076,-0.7185693
face,4.3085904,-0.33453518
tribunal,4.1049647,-1.7527573
samedi,3.7839189,-0.79844046
soir,3.8300357,-0.60453624
fin,3.5993707,-1.3889557
asile,3.608414,-0.8340244
matin,3.6076329,-0.20217966
vie,3.9493268,-0.9075043
territoire,3.5916262,-1.1760472
famille,3.5537813,-0.474289
europe,3.9149215,-0.7819227
rue,3.5986135,-0.6482823
victime,3.9984004,-0.32332966
temps,3.9738803,-1.3677366
mercredi,3.7597537,-0.4795238
intérieur,3.452005,-0.9515812
jeudi,3.9064584,-0.47718886
ville,3.907859,-1.4073554
cas,3.9675157,-0.46985337
association,3.7738686,-1.4172646
origine,3.5887015,-1.2755083
algérie,3.3034403,-0.26823103
nuit,3.5538666,-0.16195671
travail,4.3389764,-0.57269967
conseil,3.8492157,-1.2302254
gouvernement,4.006123,-1.2892879
ordre,3.3917913,-1.4571592
figaro,3.6659176,-0.571328
article,3.9504602,-0.41098154
justice,3.4608755,-0.513223
june,4.594929,-1.1419936
quartier,4.0108895,-1.3376797
sécurité,3.7954001,-0.78349257
histoire,4.037433,-0.33961082
année,4.0843825,-0.33076933
jour,3.9731662,-1.1578275
national,3.7455282,-1.1436533
janvier,4.011043,-0.528047
maire,4.334584,-1.1529212
droite,4.2440777,-0.3263849
eric,2.8949313,-0.66632086
droit,3.7546344,-0.64956135
revue,3.5685177,0.26378003
décembre,3.5953002,-0.27283707
april,4.2762923,-0.91371596
juillet,3.5148165,-0.73384255
vue,3.3492322,-1.6551638
nom,3.7596693,-0.48758736
part,3.6884286,-0.9585583
etat,3.7056513,-0.41733328
feu,3.4620905,-1.4606509
garde,3.3385897,-0.32545033
nombre,3.5351353,-1.175749
an,3.770101,-1.3406862
source,3.5698895,-0.924303
mars,3.3177733,-0.528182
octobre,3.5575056,-1.060995
société,4.016147,-1.0528984
mort,3.6988354,-1.3028872
début,3.4887135,-0.96297055
suite,3.656499,-1.0180132
centre,3.725151,-1.4867487
lieu,3.7830982,-0.9352567
juin,3.6907465,-0.80105406
propos,3.7033947,-0.7353981
décision,3.8317187,-0.82753515
parisien,3.258598,-0.78051406
emmanuel,3.404095,0.50374377
november,2.980618,-0.7419942
compte,3.2430425,-0.57340384
january,4.149344,-1.893003
avril,4.0371304,-0.8383952
