,V1,V2
pays,1.986149,2.7666373
mali,1.5476301,3.3651083
france,2.482777,2.1683195
président,2.952186,1.588029
sahel,1.5113873,3.219022
afrique,2.2314003,2.5063877
état,2.01766,2.8670714
sputnik,3.1545281,1.383649
armée,2.3131175,2.294657
français,1.9398506,2.769057
ministre,2.864185,2.022465
région,1.8825959,3.128431
militaire,2.2302065,2.4473677
sécurité,1.9523951,2.6013064
politique,3.0141091,1.7512882
algérie,2.3514278,2.1461442
burkina,4.2596693,-0.54720616
chef,2.7162163,2.1857905
situation,2.9036806,1.5608574
gouvernement,2.918287,1.6310465
faso,-1.6592449,8.727338
niger,1.1075971,4.105071
opération,1.9077315,3.1664982
russie,1.1180443,4.588994
transition,2.5926876,2.4884713
force,1.7371894,3.4016082
défense,2.0639043,2.750195
crise,3.4133706,1.0927107
juin,2.939793,1.6979231
paix,2.823283,2.0456133
libye,2.5291018,2.5119684
janvier,2.1688676,2.935672
dernier,2.2800252,2.665636
nord,1.4506167,3.3754396
mois,2.4750066,2.380775
pouvoir,2.9631991,2.0278788
décembre,2.6355703,2.108507
guerre,3.0396357,1.6246668
place,3.1720166,1.6050096
terrorisme,2.2738044,2.3055732
macron,1.2536143,3.751038
monde,3.01366,1.9871699
mai,2.424108,2.2644613
lutte,3.144939,1.6997209
groupe,1.6032116,3.9355407
cas,3.184144,1.749907
septembre,2.8520582,2.1911545
malien,2.8774333,1.6871188
communiqué,2.5156045,2.614739
union,2.3787217,2.7434967
organisation,0.85868394,4.9695277
tchad,1.563938,3.518306
mission,2.7269745,1.8014433
bamako,2.781084,2.2864907
août,2.8153048,2.3697858
attaque,1.7878733,3.4115958
février,2.1494195,2.860453
face,2.611164,2.5096004
novembre,2.6975355,2.5289166
général,2.748564,2.2648284
ouest,1.8209763,2.742839
maroc,3.5907533,1.0028085
part,2.9763508,2.3683436
partie,2.507664,2.3665519
avril,2.508451,2.6048677
accord,3.6728573,0.9347227
terroriste,1.7096249,3.1313665
octobre,2.8169882,2.238381
développement,2.7978952,1.9001558
cadre,2.3357537,2.4607055
zone,2.2147071,3.1058526
coup,1.7090852,2.677864
présence,1.6798266,3.2100813
ministère,2.797638,1.5555251
fin,2.4958239,2.4788938
ancien,3.3753493,1.1446326
côte,2.5249887,2.9642785
sommet,2.0647275,3.116317
question,3.0659497,1.788639
photo,3.2085488,2.8294537
économique,2.0076,2.8667977
mars,2.6591737,2.2553062
république,2.8524582,2.1638155
grand,3.3105671,1.6801579
emmanuel,2.462736,2.6661782
centre,2.6766853,2.2140424
fois,2.7906125,2.4199646
juillet,3.083391,1.814437
soutien,2.3377526,2.4442804
ivoire,5.904858,-2.3875415
cedeao,2.1617196,3.068752
cours,3.1438665,1.8425591
sécuritaire,2.3520339,2.0763228
onu,2.6511056,2.0479202
nombre,3.0986588,1.9013759
compte,2.9344654,2.1590903
temps,3.3462162,1.7645617
conseil,2.0974762,2.6730754
base,2.7769237,2.0126271
algérien,2.3347983,2.036149
mort,2.5601065,2.9301546
suite,2.4253793,2.6435494
sénégal,2.7036934,2.1577766
barkhane,1.8767769,2.9186006
année,2.5954988,2.4102843
alger,2.7541485,1.4873646
lieu,2.989836,2.1039522
société,3.1926734,1.9403803
communauté,2.1247196,2.6932452
presse,2.784687,2.0363708
russe,2.5465717,2.4589105
rapport,2.9512916,2.2145114
homme,3.4233897,1.7926254
minusma,2.5541828,2.1373634
coopération,1.9203347,2.7352576
jour,3.2258964,1.7491113
europe,2.8332057,2.3208683
cause,2.6613634,2.3596091
début,2.6833997,2.74469
