,V1,V2
pays,2.547525,0.5893512
afrique,3.2002347,2.9448922
mali,2.8650005,-2.7875216
france,2.5498712,-0.895243
président,2.5431612,1.0958166
armée,2.913768,-3.47472
état,2.6350567,-1.1338437
gouvernement,2.6019452,-0.436007
sahel,2.80496,-2.6601548
militaire,2.8279264,-2.4309826
français,2.532623,-0.49089187
région,2.7574856,-1.8202105
population,2.7392101,-2.3391147
sécurité,2.8108041,-2.3119504
ministre,2.5871925,-0.4647107
présence,2.561708,-1.8103244
force,3.2889335,-4.4635158
barkhane,3.3754725,-4.9173827
burkina,3.3638036,-5.2722225
niger,2.7825458,-2.7243059
place,2.6196275,-0.5894657
occupation,3.2658503,-4.469408
côte,3.079238,3.8075714
guerre,2.6001694,0.9044976
cameroun,2.8640132,2.2072268
occident,2.622577,1.5026001
éthiopie,3.0131993,2.8614516
russie,2.729085,2.2161613
peuple,3.0082464,-3.0377676
nord,3.088216,-3.7958171
faso,3.4434154,-4.9999623
coup,2.568668,-1.4203337
face,2.5792456,-0.5692234
actualité,4.052587,4.842675
rédaction,2.608327,3.407024
politique,2.6615658,1.1482614
terrorisme,2.900236,-2.9427683
ivoire,2.919754,3.0044367
situation,2.6509163,-0.25883436
attaque,3.6104462,-5.0654316
axe,2.9307702,2.1009836
chef,2.7242734,-1.7930651
accord,2.6457164,-1.2576636
base,2.875198,-3.2895045
onu,2.5587494,-1.1127021
malien,3.4956203,-4.7844934
mainstream,2.5440478,-0.6119335
continent,3.2162228,3.694523
défense,3.0740778,-3.132571
mois,2.6178946,-1.2197446
opération,3.2808352,-4.2045436
général,2.6880014,-1.6710194
dernier,2.8340964,-2.8671303
tchad,2.5223527,-0.6129883
zone,2.9373746,-2.7100236
monde,2.6446767,1.3562411
guinée,3.3167539,4.6855297
suite,2.595869,-1.0543361
grand,2.5632894,-0.1599501
part,2.6177778,0.057338107
territoire,2.967487,-3.2315564
africain,2.8948038,1.6761312
temps,2.643276,-0.572006
groupe,2.6919186,-2.1803062
lutte,2.7825947,-2.0607653
sénégal,2.8639636,2.7867165
chine,3.1335638,3.62182
coopération,2.5569026,0.59936786
fois,2.6401966,-0.8915807
vidéo,4.58546,6.0219603
israël,2.7111459,1.5452359
rdc,2.823293,2.0833423
washington,2.729418,1.830577
résistance,2.7408621,-0.81979024
projet,2.7615547,0.36767638
soudan,2.9568465,2.6299698
paix,2.7052965,-1.6877552
algérie,2.6488962,-0.25609025
ouest,2.299004,0.4151561
cas,2.6521456,0.12668651
aide,2.5791557,-0.55563813
partie,2.5311053,-0.5699234
lieu,2.698234,-2.1497986
mission,3.0468814,-3.5015829
américain,2.611352,1.1229804
rfi,2.650452,-1.9590958
sein,2.6057072,-0.9481414
nouveau,2.6070745,0.005243044
occidental,2.9220433,1.6233515
fin,2.691533,-1.1735855
centre,3.0048258,-3.5031736
pouvoir,2.644428,-0.7438217
côté,2.7193983,-0.7538436
centrafrique,2.6199603,0.35121548
terroriste,3.146197,-4.040046
sud,2.6733966,0.59926075
travers,2.7219863,-0.11030945
macron,2.5250509,0.40188184
visite,2.5373297,-0.11455436
question,2.6478965,-0.36755016
iran,3.1703122,3.2036908
république,2.651476,1.6622574
union,2.6199062,0.19294663
crise,2.6846566,0.6468025
cadre,2.6688678,-1.2268952
daech,2.883238,-2.4404137
plan,2.5831454,0.35899913
communauté,2.6783957,-0.328895
conseil,2.704254,-1.26717
cause,2.714908,-0.9988072
rapport,2.6036706,-0.40131783
cours,2.6287005,-0.60408956
communiqué,3.0074902,-3.161102
déstabilisation,2.650814,0.8865413
développement,2.9817517,2.2829597
ambassadeur,2.8344193,1.2674246
usa,2.6822362,1.0503663
russe,2.5610633,0.36912003
mozambique,2.666691,0.62616205
information,2.6009896,-1.0245645
but,2.662954,-0.43389213
soutien,2.7161808,-0.8305276
point,2.652366,-0.07542657
compte,2.7598364,-0.6749346
fait,2.7885754,-1.446471
camerounais,2.504689,0.92340213
société,2.694356,0.5824829
volonté,2.678621,-0.67083097
début,2.710389,-1.14199
décision,2.7500002,0.4351747
jour,2.7725048,-0.93316394
conflit,2.8304753,0.30242085
zoom,4.2687974,4.992355
contrôle,2.6259835,-1.3115225
ville,3.2427473,-3.9223378
puissance,2.7350705,-1.0646993
genre,2.7655828,-0.6198137
économique,2.9279246,2.494369
article,2.5542526,0.2816967
mise,2.7559109,-1.445092
ministère,2.9151998,-2.0268896
bamako,2.68336,-2.2579117
ong,2.8264484,0.3266669
échec,2.7765145,-0.2572536
affaire,2.8196537,0.6665229
transition,2.6741896,-1.8761876
vendredi,2.9233391,-2.7203598
éthiopien,2.5938802,0.9770503
objectif,2.7292733,-0.92490786
homme,2.7765193,0.44464955
démembrement,2.550199,-0.900985
moment,2.8422432,-0.86987984
sujet,3.1270807,2.4555218
bénin,2.6728544,1.5037633
tigré,2.8804078,-0.87043256
golfe,3.910462,5.009639
terrain,2.6336138,-1.2774574
frontière,3.0746331,-3.0670285
rca,2.598958,0.87372214
tête,2.8341043,0.6518991
souveraineté,2.668567,-0.39686725
niveau,2.6761553,0.6122999
octobre,2.7431211,-1.2997773
janvier,2.661439,-1.9486442
processus,2.9022393,-0.76732725
libye,2.6788924,-0.36506587
stratégique,2.6731102,0.4563074
lundi,2.928742,-2.2555141
pression,2.7593486,0.283525
raison,2.6134639,-0.48400202
retrait,2.6991992,-2.077251
décembre,2.6524477,-1.5132316
michel,5.6498814,6.757561
us,2.505032,-0.46809092
total,2.8043206,0.15577663
manière,2.8009214,0.09022133
capitale,2.7149072,-1.5329694
chose,2.6795738,-0.7633029
main,2.6789908,0.17456056
arrivée,2.8035634,-0.7043339
départ,2.8792703,-3.072157
presse,2.7123919,-0.49808457
sécuritaire,2.7934542,-1.0043701
luc,4.3561897,5.1847477
mort,2.9646702,-2.1616971
août,2.9507945,-2.3534577
camp,2.747615,-1.0801958
sommet,2.6076388,0.24342155
nigeria,2.8273227,0.8895649
scénario,2.7682652,0.07873064
gabon,3.136389,2.877961
semaine,2.5954068,-1.2847997
tentative,2.7303784,-0.44649327
air,2.736602,-0.63856554
source,2.7792182,-1.1843662
novembre,2.7506099,-1.7813582
géopoliticien,5.773528,6.3586335
mardi,2.7695622,-1.548989
clair,2.6489139,-0.38909882
mars,2.7215054,-1.9449974
ancien,2.6635354,0.45319262
burkinabé,3.1401956,-3.9612396
numéro,5.6360927,5.638406
septembre,2.8947964,-1.9330586
opposition,2.693553,0.059278358
youtube,5.0161963,5.83961
dimanche,3.0505145,-3.182406
burundi,2.7282796,1.9602885
international,3.0179727,2.2696457
avril,2.708664,-1.101021
prétexte,2.8047519,-1.4236739
intervention,2.6213467,-1.4855635
nombre,2.6051614,-0.5354957
mouvement,2.9250658,-1.7297313
février,2.7906191,-1.5491109
jeudi,2.8920064,-1.7542074
année,2.7821665,0.31658763
important,2.7345643,0.44738144
propos,2.5736597,-0.25724065
position,2.8062904,-0.27225417
site,2.753415,-1.1332785
combat,3.0356216,-1.4294889
centrafricain,2.6090603,-0.8723853
libération,2.7645988,-1.5754234
national,2.9253728,-1.1957164
djibouti,2.8203638,1.8418787
congolais,2.748875,0.37800717
mai,2.8418164,-0.90259427
régime,2.795115,0.5379515
ghana,3.125666,2.7811823
dialogue,2.6100411,-1.083029
formation,2.7484415,-1.2761883
œuvre,2.725686,-0.36383632
besoin,2.670715,-0.6513209
bangui,2.6011422,-0.26484928
organisation,2.656642,-0.27786312
regardez,5.8968816,5.8389907
mercredi,2.5986013,-1.1483079
minusca,3.1225696,-1.4735056
ouattara,2.7128043,1.2155963
minusma,3.4235044,-4.447868
secteur,2.849735,0.89959675
cible,2.6897898,-1.3910427
samedi,2.9225392,-2.176046
ordre,2.7842042,-0.9399338
exemple,2.678475,-0.39030334
alger,3.1408484,-2.4047482
juin,2.6624138,-1.7184218
déploiement,2.7339156,-1.8744246
tshisekedi,2.867549,2.0842009
droit,2.9254699,0.31962058
corne,2.8221593,2.8711011
action,2.7028713,-1.5119108
bon,2.8113477,0.22538613
juillet,2.7480981,-1.3412845
nigérien,2.7974234,-2.528217
kidal,3.2965586,-4.3027616
vie,2.9711683,-1.6425843
ensemble,2.9729173,-2.355913
média,2.694593,-0.19245645
garde,2.90028,-1.0795225
programme,3.2620385,3.268125
premier,2.9133623,0.042363055
bien,2.871289,-0.5218468
rencontre,2.7487404,0.41545022
bloc,3.1033018,2.4255993
ambassade,2.752888,0.2629896
junte,2.614998,-1.6924943
offensive,2.7432628,-1.0622562
menace,2.8438,-1.1750004
vue,2.8321846,0.21456552
grâce,2.8042085,-0.3578678
occasion,2.8543625,-0.047412124
annonce,2.834188,-0.41352248
route,2.8981256,-0.88212943
sens,2.8469048,-0.42026576
ahmed,3.078232,2.3042428
ivoirien,2.6587112,0.60164595
campagne,2.8496184,0.48983446
secrétaire,2.9021304,-0.9751029
doute,2.8514588,-0.1693801
moscou,2.902673,0.59051085
pétrole,2.9649682,2.5382729
train,2.734858,-0.5184339
sénégalais,2.6087372,1.0894036
nom,2.7505116,-1.0759369
influence,2.474838,1.3298644
contre,2.825995,-0.9811803
demande,2.9032032,-0.9053841
stratégie,2.73692,-0.165265
terme,2.8326523,-0.67746764
appel,2.6679378,-1.0636821
histoire,2.8366091,-0.5743851
enquête,2.8038611,-0.9480074
problème,2.7918327,-0.34001267
emmanuel,2.7598495,1.1738061
prix,2.8623831,0.7404571
congo,3.0383265,2.5062213
indépendance,2.692212,-0.63471633
an,2.6644876,-0.7961021
maroc,2.863394,0.7293239
gaz,2.9550214,1.8928843
vrai,2.7308285,-0.2421576
mandat,2.7235441,-0.23503372
haut,2.7237632,-1.1270696
feu,2.8832324,-0.8750098
solde,2.802632,-1.6883595
système,3.1460845,0.20684233
élysée,2.779571,-0.1722966
économie,3.0458238,1.7058234
otan,2.8089442,-0.9249534
insécurité,2.6619244,-1.8430004
discours,2.781868,-0.1722817
mal,2.824402,0.18607582
coalition,2.4326549,-0.60770804
rôle,2.891375,0.2709865
rappel,2.646109,-0.34236452
kenya,2.6941984,1.8919129
boko,2.7223775,-2.1731405
production,3.0476496,2.2552762
trump,3.0796623,1.2089623
humanitaire,3.149869,-0.8838635
abiy,2.761762,2.7453856
porte,2.8450377,-0.31045404
accès,2.8396535,1.3510884
analyse,3.248364,1.9827754
réalité,2.7773612,-0.2827742
initiative,2.6735296,-0.7423618
populaire,2.8242013,-2.249315
peine,2.884364,-1.0730631
réponse,2.7810144,-0.50126463
réunion,2.9085615,-0.5036663
renseignement,2.636068,-1.0038337
gao,3.0689664,-4.026456
violence,2.8753762,-1.162629
barrage,3.2559524,2.9788873
administration,2.8384974,1.220603
front,2.696989,-0.7364926
peur,2.7154295,-0.4622663
parti,2.838745,0.58859056
fama,2.8789103,-3.2099352
tplf,2.5815856,-1.1185004
création,2.6988478,-0.5572962
province,2.9253757,-1.6663882
message,2.8899057,-0.13366668
présent,2.9628043,-0.5858536
village,3.184248,-3.5178254
heure,2.8225698,-0.4907521
chinois,2.7408087,0.9550164
commandement,2.668538,-0.97728705
bilan,2.703475,-2.7729428
compagnie,2.5816443,0.24604371
drian,2.4695725,-0.8458433
homologue,3.0547066,0.2789051
origine,2.8855495,-1.1002238
intérêt,2.773295,0.44293022
police,2.9831734,-1.288039
tchadien,2.5120616,-0.8586179
colonel,3.2260423,-0.91865724
ingérence,2.5738182,-0.12744501
alliance,2.8251588,0.7459008
algérien,2.6016302,-1.2330393
maritime,2.6880739,2.244497
santé,2.6104825,0.6613707
biya,2.8595035,2.9480128
changement,2.6770074,0.20069207
mesure,2.9382548,-0.37769613
commission,2.4653628,0.0721146
loi,2.8158367,0.08211781
faveur,2.964033,-0.1470317
eau,3.1463609,0.8886221
justice,2.666967,-0.7013456
syrie,2.6986074,-0.55404836
ligne,2.8374813,0.25766668
unité,2.7090864,-1.512911
paul,2.8052297,2.2704809
jeu,2.5911021,-0.46992734
cedeao,2.7097337,0.24360557
prise,2.6932774,0.15634836
égypte,3.033128,2.72586
sol,2.9448438,-1.7173634
scène,2.7141728,-0.37584618
touadéra,2.4878657,0.5229464
directeur,2.8326623,1.8615725
anglophone,2.5763574,0.4036084
contexte,2.9010184,-0.14913708
europe,2.9350212,0.4026047
allemagne,2.7493713,0.5549029
imam,3.1297903,-2.9338648
assassinat,2.6835947,-0.82056
délégation,2.7947638,-0.7157247
direct,4.452926,4.4976153
fonds,2.7586951,0.822836
ciel,2.5721638,-1.1827338
particulier,2.671258,-0.2164763
long,2.8099692,-0.55803156
construction,2.745106,0.22756962
colère,2.9077094,-1.1988295
image,2.8227303,-1.3009623
voie,2.7694683,0.50269353
facebook,2.7505562,2.728727
travail,2.9101796,-0.5795141
sorte,2.8839493,-0.43235242
difficile,2.724557,-0.8818967
exercice,2.660834,-0.20612428
marché,2.9062645,1.6249992
terre,2.7352667,-1.0404475
ibk,2.910496,-1.6661804
armé,2.724257,-0.9042868
appui,2.399069,-0.7748332
convoi,2.6469898,-2.2841077
nigéria,2.5826626,0.27211905
amérique,2.677523,0.239867
réconciliation,2.778541,-1.615902
poste,2.986573,-1.5412134
somalie,2.7879322,0.10813144
service,2.7814703,-0.28897706
succès,2.6699095,-0.21468808
présidence,2.7482176,0.3319834
drone,2.7556205,-2.0469706
entier,2.8014758,0.5095289
déclaration,2.7956357,-0.46208674
massacre,2.657142,-2.2158592
etat,2.6643322,-0.6738629
démocratique,2.4699657,1.3398614
élection,2.6972802,0.6415019
exploitation,2.8166072,0.6864779
période,2.8713386,-0.1282757
petit,2.5429957,-0.40592778
burkinabè,2.6488073,-2.7587116
encontre,2.522342,0.018207852
faca,2.8780327,-0.8334641
matière,2.8457332,0.11123596
islamique,2.7633145,0.54888433
dossier,2.9366734,0.17465049
sécurisation,2.4910367,-1.193653
siège,2.680174,-0.11965004
tour,2.7311373,0.03376436
conférence,2.4621403,0.371483
mobile,3.2473412,3.0632057
agence,2.7507653,0.25457066
texte,2.809015,-0.64101875
propre,2.7539039,-0.22551604
manifestation,2.7476456,-1.8187224
moyen,2.6442916,0.58732545
profit,2.668286,-0.5127524
israélien,2.7886624,0.042335454
preuve,2.6517386,-0.13064368
titre,2.8106935,-0.03081387
colonialiste,2.4291148,-0.5960091
localité,2.7913742,-2.6772866
choix,2.8083794,0.12665084
stabilité,2.6302655,0.1581843
protection,2.635898,-0.81495184
idée,2.660809,-0.5902192
date,2.656523,-0.8811795
normalisation,2.6724036,0.7516588
sall,2.591634,2.3284426
avion,2.699254,-1.1599643
engagement,2.825766,-1.1275067
renforcement,2.536699,0.111400746
érythrée,2.744762,0.87442374
partenariat,2.725661,-0.08732158
nation,2.6153905,-0.31623426
diplomatique,2.692317,-0.043152686
niamey,2.9161346,-1.7449116
kabila,2.7902522,1.241067
dicko,2.4924378,-2.0176342
comité,2.708962,-1.2797835
nuit,2.459456,-2.2784898
majorité,2.7197576,-0.3977846
françois,2.688465,-0.46261868
entrée,2.698666,0.76660234
domaine,2.7541175,0.7519397
