,V1,V2
France,-0.9870677,-0.43576318
Russie,-1.1523782,-0.10752437
États-Unis,-1.6892831,-1.0474474
Algérie,-0.96192276,-0.101151735
Chine,-1.1210148,-0.72047246
Maroc,-1.0912926,-0.63592136
Turquie,-1.4501723,-0.1579378
Libye,-1.6492548,-0.76642716
Mali,-1.8210284,-0.699507
Allemagne,-1.1954681,-0.8221953
Syrie,-1.0453598,-0.33353558
Iran,-0.8783964,-0.44895968
Royaume-Uni,-1.027271,-0.91003984
Cameroun,-1.7363217,0.019687776
Ukraine,-1.3409951,-0.6198243
Tunisie,-1.6699338,-0.64886504
Liban,-1.0487295,-1.3274994
Venezuela,-1.2697103,-0.5989291
Israël,-1.0677218,-1.0893519
Irak,-1.0957067,-0.81540537
Togo,-2.2167747,-0.09315954
Italie,-1.3526208,-0.63793087
Inde,-1.4002738,-0.62386864
Niger,-1.7753763,-0.14661634
Belgique,-0.9201596,-0.016156398
Biélorussie,-1.9454533,-0.3757974
Canada,-1.3635068,-0.44547266
Pologne,-1.3861752,-1.0520148
Afghanistan,-0.5944231,-0.69392186
Espagne,-1.0103229,0.11260883
Brésil,-1.1957585,-0.42481965
Arménie,-1.1522907,-0.8460912
Grèce,-1.6710165,-0.6531143
Madagascar,-1.4046328,-0.20279472
Soudan,-1.6116725,-0.5443288
Bénin,-1.3578919,-0.1791368
Pakistan,-0.90249485,-0.9055251
Suisse,-0.74003685,-0.41707653
Azerbaïdjan,-0.8422833,-0.58580244
Australie,-0.71378607,-0.73677385
Tchad,-1.2849463,-0.35715234
Bulgarie,-0.9323088,-0.15315135
Guinée,-1.2305093,-0.24000004
Égypte,-0.61000997,-0.67081755
Sénégal,-0.8863332,0.043964446
Qatar,-1.0128913,-0.46720564
Nouvelle-Zélande,-0.55723274,-0.313579
Suède,-0.6815052,-0.23514728
Danemark,-0.7357066,-0.52657753
