,V1,V2
France,0.64625067,1.1391176
États-Unis,1.3182782,0.7319995
Mali,-0.25036243,1.7104347
Iran,1.2373447,0.5686327
Russie,1.3854179,0.71000826
Chine,2.7172003,0.029625848
Israël,-0.6220267,2.1931589
Syrie,0.24086417,1.4876355
Éthiopie,0.3370112,1.4053245
Cameroun,0.08299327,1.654174
Niger,0.28198794,1.419783
Centrafrique,0.6152155,1.0190905
Turquie,1.2731407,0.9612636
Sénégal,-0.7136539,2.6237175
Liban,-0.8619789,2.597103
Soudan,-0.5165014,2.416187
Algérie,2.182325,0.5472642
Libye,1.579468,0.82743174
Allemagne,2.1843405,0.42625836
Mozambique,2.2123308,0.6763682
Tchad,-0.27787146,2.0193703
Irak,-0.19078754,2.1422698
Yémen,0.555456,1.3361895
Guinée,-0.9288814,3.7003088
Maroc,1.0426569,1.6383636
Bénin,-0.12675475,2.3557892
Royaume-Uni,1.8469921,0.7439721
Gabon,3.5569074,0.24769656
Venezuela,2.8005598,0.6166877
Burundi,-0.7516157,3.687666
Afghanistan,0.5582963,2.107314
Somalie,1.2735647,1.3286994
Ukraine,1.7213979,1.2805235
Djibouti,0.1470006,2.2710135
Tunisie,1.202556,1.5191555
Grèce,1.471018,1.458397
Ghana,1.6386914,1.4092243
Pologne,2.8638077,1.0553308
Kenya,2.265329,0.9753322
Australie,2.6976101,1.3552414
Madagascar,1.6305467,1.7655727
Érythrée,0.7519561,1.8391653
Égypte,0.56836224,1.6943009
Italie,2.0779643,1.0059962
Nigéria,0.37540764,2.2633808
Inde,1.2580417,1.7647039
Suisse,1.3806778,1.678712
Ouganda,1.1596704,1.8657712
Mauritanie,0.906079,1.8406024
Chypre,0.6860471,1.7405292
Tadjikistan,0.9853802,2.730537
Japon,1.7169974,1.3167688
Togo,1.1097133,1.3095337
Rwanda,0.83278924,1.8890682
Canada,1.3822453,1.0866879
Pakistan,1.5740072,1.1952766
Cuba,0.88813674,2.044111
Mexique,1.903155,2.0325413
Jordanie,1.069818,1.2433795
Bahreïn,0.7854949,1.4874111
Biélorussie,1.3899186,1.2989079
Brésil,1.8505887,0.9680604
Tanzanie,1.3904232,1.5033412
Danemark,0.59904766,1.683587
Azerbaïdjan,1.0382144,1.6598325
Haïti,2.0440037,1.2171823
Qatar,1.1065582,1.3484027
Belgique,1.1568263,1.4156055
Bulgarie,1.5382569,1.8283541
Comores,1.109178,1.4753853
Hongrie,1.2907779,1.1440432
Espagne,0.62792087,0.9850778
Norvège,0.6131005,1.6118941
Suède,1.2245075,1.056229
Guinée-Bissau,0.6168381,1.0808437
Gambie,1.1124809,0.71946913
Portugal,1.0987113,1.4137961
Zimbabwe,0.7854373,1.5482036
Arménie,1.1958292,1.3379787
Ouzbékistan,0.6396517,1.3917404
Argentine,0.7425011,1.8057631
Lituanie,0.746081,0.76633596
Pays-Bas,0.7409633,0.91581833
Oman,1.1370344,0.61364204
Zambie,0.92352283,0.9931755
Bolivie,0.4117882,0.49373335
Kirghizistan,0.90312505,0.9280319
Serbie,0.653836,0.59551823
Angola,0.22361043,0.6946589
Koweït,0.75633824,0.44088867
Cap-Vert,0.36094975,0.9151935
Géorgie,1.0052071,0.5575091
Botswana,0.55404365,0.60186446
Croatie,0.65950525,0.48471248
