,V1,V2
France,-0.011248642,0.39683887
Israël,0.705974,1.0251579
États-Unis,-1.0268526,1.0563847
Russie,-0.07465848,1.2911966
Chine,-1.9012026,0.5763494
Allemagne,0.49618822,1.3518666
Syrie,-0.47751433,1.0767298
Ukraine,-0.88540685,1.1068295
Iran,-0.15122855,0.8979174
Liban,-1.2419765,0.7480889
Turquie,-0.49250746,2.9036143
Royaume-Uni,-0.14123277,1.3125961
Panama,0.3346424,1.5326641
Irak,-0.4669532,1.2397128
Afghanistan,-1.4175264,1.3422929
Italie,-0.87315714,1.1766015
Algérie,-0.08461145,1.3342134
Libye,-0.6605571,1.5333123
Grèce,-0.07043609,1.6434739
Venezuela,-0.84127426,1.5367843
Mali,-1.0994827,1.3831366
Pologne,-0.98651725,1.408882
Espagne,-0.7443711,1.8641301
Qatar,-0.98264515,1.6450826
Pays-Bas,-0.31950092,2.01048
Brésil,-1.0791279,1.8116206
Égypte,-0.74800485,1.620208
Chypre,-0.24878211,1.9884008
Roumanie,-0.48782572,1.7210371
Hongrie,-0.62537616,1.7567867
Suisse,-0.6608635,1.4780273
Inde,-0.8858528,1.0247899
Biélorussie,-0.60975087,1.575277
Vatican,-0.60123694,1.7077812
Australie,-0.87016356,1.632334
Soudan,-0.5775096,2.308247
Belgique,-0.7486712,1.2182274
Suède,-0.3448815,1.5354815
Canada,-0.18486668,1.1351823
Maroc,-0.68649155,0.9027995
Albanie,-0.5653281,1.5787617
Argentine,-0.340645,1.754224
Tunisie,-0.8747529,1.544384
Cuba,-0.23172216,1.0727086
Colombie,-0.89984405,2.0590098
Azerbaïdjan,-0.57702756,1.5935422
Norvège,-0.41081622,1.4851655
Tchad,-0.042908393,1.4879211
Arménie,-1.1939005,1.4963888
Japon,-0.27887726,1.0131351
Lituanie,-0.79784864,1.0972791
Serbie,-0.1889096,1.2867249
Pakistan,-0.060462255,0.5966548
Somalie,-0.31572482,1.1630025
Slovaquie,-0.6576821,0.9216759
Madagascar,-0.44669676,0.595384
Centrafrique,-0.6611727,1.2782391
Finlande,-0.17601329,1.326043
Sénégal,0.13243927,0.891977
