,V1,V2
France,-0.3141683,-0.113671795
Algérie,-0.21896261,0.28135434
Afghanistan,-0.9525192,-0.6024528
Allemagne,0.0690648,0.35743642
Mali,-0.8951834,-0.45350465
Syrie,0.29874694,-0.107502155
Libye,-0.7754195,0.14685772
Haïti,-1.3778007,-0.52542716
Sénégal,-0.2339424,-0.08528835
Turquie,-0.81905985,-0.64466435
Tunisie,-0.18273208,0.044940103
Chine,0.1516431,-0.046882216
Suisse,0.03528252,-0.27666932
États-Unis,-0.61754686,0.072165504
Belgique,-0.60160965,-0.31748173
Royaume-Uni,-0.6751119,-0.15421742
Irak,0.37652406,-0.40545496
Grèce,-0.3611568,-0.19275592
Qatar,-0.060904928,-0.4568118
Israël,-0.12852797,-0.28119844
Portugal,-0.8869642,0.06365652
Malte,-0.68317515,-0.32439405
Maroc,-0.20555395,-0.088366926
Russie,-0.9980275,0.24877766
Bangladesh,-0.8246292,0.12629046
Irlande,-0.896863,0.03540404
Moldavie,-0.798642,-0.16096082
Arménie,-0.27589795,-0.5245603
Venezuela,-0.33321446,-0.54962736
Italie,-0.37276444,0.40447268
Guinée,-0.31983876,-0.07477231
Iran,-0.3857401,-0.46083465
