,V1,V2
Mali,-0.25488043,1.610758
France,-0.20579691,1.6632417
États-Unis,-1.6306214,0.24494469
Niger,0.22686537,2.363477
Cameroun,-2.2266963,-0.4036951
Éthiopie,-1.328436,0.47827834
Russie,-0.59380704,1.4218775
Tchad,-1.0753145,0.6489457
Sénégal,-0.7163776,1.2927318
Israël,-1.995072,0.026762247
Centrafrique,0.12905015,2.2785141
Soudan,-1.4432956,0.44894016
Chine,-1.238816,0.9220373
Mozambique,-0.29300532,2.1240492
Iran,-1.1295103,0.9213762
Algérie,-1.5770811,0.894139
Bénin,-0.25824356,2.2754745
Gabon,-1.0791492,1.0554578
Burundi,-1.0214138,1.2963148
Libye,-1.4977427,1.0123664
Djibouti,-2.834299,-0.27907303
Guinée,-2.170136,-0.066951714
Ghana,-1.5194254,1.2127601
Somalie,-1.6844485,1.0235023
Maroc,-1.4558595,1.1429547
Kenya,-1.9694011,0.58132327
Égypte,-1.9431465,0.4530469
Allemagne,-1.6771014,0.7251949
Nigéria,-1.2832438,1.1754164
Tunisie,-1.5838385,1.598857
Madagascar,-1.4705081,1.6619327
Érythrée,-2.664953,0.14031726
Syrie,-1.3676667,1.4327549
Turquie,-1.3426731,1.7561096
Togo,-1.2731316,1.5078914
Rwanda,-0.8290504,2.459508
Ouganda,-2.9772604,0.38412854
Mauritanie,-0.7376174,2.5314703
Zimbabwe,-1.3385383,2.6728818
Suisse,-3.2227616,0.28522092
Afghanistan,-1.5787117,1.3246897
Venezuela,-1.1606085,2.4852228
Zambie,-2.2142053,1.54988
Italie,-1.5258244,1.4998095
Yémen,-1.3308755,1.1731925
Comores,-1.2434527,1.5186795
Gambie,-1.3524427,1.7262125
Tanzanie,-0.68871504,1.4370354
Irak,-1.571787,0.675742
Belgique,-1.300166,1.7096423
Danemark,-1.6348884,1.2454609
Royaume-Uni,-1.1509819,1.3367803
Portugal,-0.8949839,1.1457207
Inde,-1.2030237,1.2968963
Canada,-1.4299845,0.84696746
Cuba,-1.3040639,0.7565937
Angola,-1.305886,1.4235016
Tadjikistan,-1.2888888,1.6550272
Cap-Vert,-0.6052091,1.4954828
Guinée-Bissau,-0.91939896,0.76105195
Suède,-0.8310189,0.74887586
Ukraine,-0.71885353,0.5848263
Liberia,-0.39036843,0.7881175
Grèce,-0.83419377,0.71177036
Botswana,-0.6069847,0.8297219
Norvège,-0.18107359,0.333921
