,V1,V2
France,-0.07983598,0.07422389
Mali,0.20000625,0.49971923
Russie,-0.5004851,-0.25705257
États-Unis,0.2691591,0.56284
Syrie,-0.28643313,-0.08373954
Niger,0.34447533,-0.05093776
Turquie,-0.26129955,0.43065453
Israël,-0.27106634,-0.036081325
Tchad,0.10816695,0.09084161
Algérie,-0.42069525,-0.46892178
Libye,0.33259675,0.31628966
Irak,0.3000747,0.11190508
Chine,0.2931504,-0.10874553
Espagne,-0.077599816,0.31864586
Afghanistan,-0.41373324,-0.15565865
Allemagne,-0.38625997,-0.011956158
Ukraine,0.4641368,-0.28159726
Grèce,-0.12795186,-0.0835309
Brésil,0.38442314,-0.26633203
Liban,-0.03652112,-0.17577226
Royaume-Uni,-0.5001406,0.2872617
Maroc,-0.4763722,-0.18864407
Qatar,-0.017496303,0.040291376
Italie,-0.40080118,0.507565
Jordanie,0.23237538,0.5034743
Iran,-0.43368936,0.31971285
