,V1,V2
Président,0.020066168,0.04329867
Macron,0.3180945,0.4808449
Galina,-0.5619187,-0.3941558
Navalny,0.45318645,0.57238954
Trump,-0.24074692,-0.18468912
Haftar,0.41393432,-0.06857874
Bouteflika,-0.20845181,0.32989472
Bardot,-0.21328944,-0.09554964
Pen,0.15244676,0.060337923
Erdogan,-0.41688758,-0.4720242
Washington,0.39577582,0.27991167
Benalla,0.40175816,0.043655124
Porochenko,0.41834003,-0.13699917
Elena,0.005180949,0.31765363
Mila,-0.3835273,-0.2166336
Camille,-0.34102258,-0.08778196
Legault,0.53234184,-0.34379825
Poutine,-0.07338674,-0.07594629
Gaulle,0.47967497,-0.29407007
Biden,0.022547485,-0.24580704
Zemmour,-0.4723372,0.26300845
Théophane,-0.39526165,-0.2256334
Epstein,0.0495996,-0.021021763
Gbagbo,-0.39199886,0.50959855
Audin,0.34827468,0.55312514
Marine,-0.40977818,0.24160466
Assange,-0.15724269,0.08661239
Emmanuel,0.47337785,-0.23589034
artémisia,0.24554339,-0.36001465
Mélenchon,-0.16768073,0.5068649
Zelensky,0.022030922,0.03350079
Cadène,-0.17376232,-0.43223897
Karima,-0.07122356,0.11954876
Bloomberg,-0.03905713,0.27984712
Morano,-0.13383363,0.1177607
Boudiaf,0.3281831,0.46794248
Soral,-0.008692976,-0.46664315
Snowden,0.26649806,0.07660136
BHL,0.4042779,-0.04358022
Vincent,-0.09884602,-0.4610739
Kierzek,-0.024213312,0.15464678
Ciotti,0.29083347,0.3743099
Bitar,-0.24490885,0.10452306
Drareni,0.36694813,-0.28380066
Raoult,-0.1451082,0.35623255
Déby,0.14727712,0.046865262
Mahomet,0.19155422,0.0031111387
Hidalgo,0.49729258,0.25357446
Asselineau,-0.45194763,-0.3653174
Huawei,0.06686189,0.32321143
Matignon,-0.41511512,0.18061404
Steve,0.332916,0.33350444
Carlito,0.42491466,-0.30811882
Noam,0.092735805,0.32635212
Bolsonaro,-0.122970335,-0.30532977
Castaner,-0.0014837824,-0.41912878
Renaud,-0.23999947,0.38879645
Griveaux,0.19646977,0.3762383
Zelenski,0.3797554,0.38680762
Blanquer,-0.18243903,-0.010557854
Benzema,0.14781001,-0.21476904
Chengriha,0.48889107,-0.48690712
Marianne,0.34289193,0.14492516
Staline,-0.2407209,0.22455752
Handfield,-0.025104882,0.3853799
Salamé,0.5324223,-0.19261342
Deschamps,0.0040676855,-0.26793382
Babis,0.22707576,0.14937082
Barkhane,0.3661227,0.3123351
Tabib,0.5114982,0.47317305
Sergueï,0.44809228,-0.34609705
Pompeo,-0.4415558,-0.012303963
Orban,-0.11844731,0.41486052
Béchir,0.31867397,-0.07857693
Boumaârafi,0.10761075,0.12120114
Ioulia,0.44571072,-0.47122782
McFly,0.032886222,0.18464111
