,V1,V2
Barkhane,0.23294458,0.25550678
Macron,0.854348,0.858305
Washington,-0.03592825,-0.063766725
Trump,0.7587981,0.7953039
Biden,0.38916287,0.18620935
Ansarallah,0.85753787,0.2368738
Ouattara,0.31637073,0.70045114
Haftar,0.13510936,0.23575042
Wagner,0.5007914,0.2608829
Touadéra,0.23101243,-0.036227617
Tshisekedi,0.744566,0.47498238
Bozizé,1.3262151,0.645623
Poutine,0.6165155,0.017915124
Dicko,0.34430212,0.56758434
Pompeo,-0.025433578,0.053235825
Erdogan,-0.07771439,0.21329676
Sankara,1.3210016,0.091799796
Biya,0.6128152,0.44358853
Gbagbo,0.89372957,0.006116198
Touadera,0.81622595,0.28525832
Nasrallah,0.043222774,0.61589646
Palma,0.00032722251,0.08401123
IBK,0.28969583,0.22870825
Bain,0.25990948,1.0514232
Netanyahu,0.70201087,0.75951207
Déby,-0.05572682,0.4002774
Photonis,0.038818713,0.22373089
AUKUS,1.1126554,0.18304886
Merkel,0.5584109,-0.08302763
Rohani,0.009918732,0.6179693
Lavrov,0.28670296,0.3051747
Zemmour,0.38310838,0.045879632
Maduro,0.345289,0.44418153
Kaboré,0.5748869,0.71297795
Hariri,0.8788141,0.792977
Kafolo,0.50161576,0.60026896
Ayatollah,0.6360266,-0.025388155
Gantz,0.5368501,0.28072736
Stoltenberg,0.7901925,0.2355686
Johnson,0.52448267,-0.027164042
Kabila,0.21551636,0.33865058
Balhaf,1.1145122,0.9063444
Nkurunziza,0.26375172,0.432541
Bazoum,0.75136834,0.14935915
Deby,-0.0076333005,0.49341935
Navalny,0.5886439,0.30640265
Saddam,0.5656219,0.28101897
May,1.0318927,0.6852517
Nyusi,-0.011572545,-0.09155375
Hatami,0.48556185,0.72711664
Zelensky,0.17536569,0.5805075
Salmane,0.6939553,0.6233783
Rivlin,0.9194659,-0.019257374
Bédié,0.684263,0.78680867
Monusco,0.3751245,0.19411138
Raïssi,0.39813223,-0.14360118
Diallo,0.57451445,0.9211383
Delevoye,0.6189038,0.7544108
Zouari,0.8268256,0.8004605
Prophète,0.16441895,0.20386596
Khanzadi,0.4917277,0.07843402
Opex.360,0.74892175,-0.2237911
Shah,0.9281102,0.47528356
Arafat,0.13959008,0.5495993
Jésus,0.066126615,0.45841074
COVID-19,0.9769749,0.019744292
Compaoré,0.5870852,0.056816384
Keïta,0.49928755,0.3863485
Atlantiste,0.5903201,0.4866591
Ariane,0.746171,0.6666011
Issoufou,0.60885674,-0.24421039
Sarkozy,-0.13133426,0.18772958
Amir-Abdollahian,0.18109012,0.6704378
Xie,0.8459611,0.20009337
Baroua,0.49687374,0.33033028
Grossi,0.7148833,-0.2798013
Mekele,0.32016855,0.497495
Sall,0.19052924,0.67166764
Schäuble,0.8898766,0.61241364
Adib,0.4253329,0.7289591
Opex360,-0.1871013,0.372294
Zakzaky,0.15776558,0.06073185
