,V1,V2
Zemmour,0.323226,-0.3042478
Macron,1.4749233,0.06628574
Soral,0.06904108,-1.6363168
Raoult,2.7951956,0.08532883
Trump,0.677109,-1.1834197
Dieudonné,1.5359582,-1.254913
BHL,0.82444614,-0.15174507
Epstein,0.6758754,-1.0347412
Biden,1.294147,-0.83372796
Washington,0.774517,-2.0117273
Pen,1.4810776,-0.01561216
Poutine,1.4300747,-0.6283339
Hitler,2.0515158,-1.3832943
Kennedy,1.9490042,-0.8656801
Staline,1.6662785,-1.8618766
Mitterrand,1.4121398,-1.1872226
Valls,2.018412,-1.2436829
Alain,1.278063,-1.6675907
Tapie,1.4133745,-0.99442506
Ryssen,1.1112909,-2.2239566
Sarkozy,1.014275,-0.8859316
Traoré,0.44712794,-1.3892438
Gaulle,1.0412661,-0.6977424
Noriega,1.879256,-0.8087593
Mélenchon,1.8877977,-0.2036877
Napoléon,0.9131871,-0.61580783
Attali,1.0383362,-0.74207807
Onfray,1.5454911,-1.0814412
Moix,2.1164348,-1.2996292
Souvorov,1.3429826,-0.71198356
Aphatie,1.4666606,-1.1191285
Goldnadel,1.4836252,-1.619592
Netanyahou,0.96669793,-0.583669
February,1.4926414,-0.24191158
Asselineau,0.90641326,-0.47557592
Johnson,1.9819094,-0.4748622
Charlie,1.621649,-1.9067184
Harari,1.8509538,-0.84839433
Gad,1.8849556,-0.7886702
Solomon,1.5543488,-2.2994504
Vincent,1.3768231,-1.2619026
Christ,2.0606103,-0.7271692
Corbyn,1.2284483,-0.6586276
Bégaudeau,2.106987,-1.5300463
Mila,1.301864,-0.6119568
Ardisson,2.1427612,-1.4858383
Covid,1.4233056,-0.62258863
Président,1.5507132,-0.07473287
Dame,1.5342584,-1.6802608
Michel,2.1271288,-0.69518805
Notre-Dame,1.270489,-0.8063387
Elkrief,1.905691,0.33891413
Chirac,1.6061232,-0.98619354
Ménès,1.7140543,-0.20422035
Casasnovas,1.3630522,-1.2541999
Rivarol,1.1630586,-1.1492617
Rougemont,1.5530285,-0.88725823
May,1.611114,-0.26554692
Pr,2.219848,-0.05461199
Branco,1.6742638,-1.2147038
Benalla,1.3776004,-1.2110399
Matzneff,2.0361211,-1.6724198
Yann,1.658903,-0.48996118
Renaud,1.8005301,-0.8019117
Julia,1.687319,-0.46835223
Finkielkraut,1.8084154,-1.1597807
Robert,2.078993,-1.5517873
Dante,1.8354206,-0.7480876
Marine,1.2937113,0.18354957
Obono,2.2484112,-0.4554457
Joe,1.7069403,-1.2114929
Marianne,0.9994491,-1.0905511
COVID-19,1.4335855,-0.44743985
Fenech,2.1605906,-1.129021
Hariri,1.8638399,-1.0564694
Obama,1.694663,-1.5748317
Thierry,1.592692,-0.7774231
Aymeric,1.6913955,-0.09114757
Madoff,2.2451289,-0.13086332
Balili,1.749511,-0.5873983
Oswald,1.6002321,-1.0111432
Adama,0.8328432,-1.6452347
John,1.8011059,-0.67997867
Kamala,1.7903091,-1.2092975
Delawarde,1.5338329,-0.3379863
Nuland,0.9127782,-1.4759867
Caumes,2.521665,-0.44703165
François,1.3084381,-1.1700532
Brunel,1.1169295,-1.1811916
Churchill,1.9938142,-1.2971334
Lapierre,0.97233486,-1.0469397
Chouard,1.5296816,-1.2604953
Guaino,1.1014924,-0.83700484
Benzema,1.7942939,-1.8399009
Isis,1.7545056,-1.3618197
Reiser,1.4322807,-1.1409253
Sophia,1.5740683,-1.3786204
Todd,1.604542,-0.8043302
Monsieur,1.5441635,-1.1402882
Wargon,0.9900749,-0.9998126
Lambert,1.698189,-0.8899444
Benjamin,1.3108288,-1.3682137
Arias,1.8412063,-0.41343504
Navalny,1.2239009,-0.7657558
Jack,1.1126285,-0.5685111
Castaner,0.7164604,-0.7999804
Amour,1.8914094,-0.8685287
Lang,1.4888787,-1.0164876
Malka,1.8388902,-0.29297727
Charline,0.9020417,-1.1178865
Booba,0.66468585,-1.2285899
Céline,1.0672585,-1.5514688
Greensill,1.8525671,-1.112593
Rugy,1.7560096,-0.433056
Morandini,1.1778562,-0.6842073
Bourdin,1.4022448,-1.2814462
Tristan,1.023223,-1.1099225
Idriss,0.7954582,-1.0273058
Klarsfeld,1.5379913,-0.8131946
Bigard,1.5549942,-0.95415413
Truchot,1.0686455,-0.59843314
Gerbi,1.2436482,-0.13344163
César,1.3411694,-0.46963346
Amadou,1.3554465,-1.0449342
Jean-Michel,1.0744162,-0.9669014
Satan,1.3165449,-0.8256316
Bouamama,0.6306889,-1.3656832
Cohen,0.91395,-1.1515529
Philippe,0.8365557,-1.1141934
Lénine,0.89803106,-1.1876152
Erdoğan,1.037832,-0.7682619
Konbini,1.5950054,-0.4850075
Floyd,0.94846284,-0.3927693
Voltaire,1.1687037,-0.2267322
Gabin,1.1623043,-0.6542707
Spielberg,1.5075204,-0.61194503
Donald,0.8552308,-0.4817054
Romand,1.2960775,-0.40750822
Maxwell,1.6688422,-0.25041333
Kalifat,1.0955154,-0.77704006
Manu,0.5981747,-0.7598799
Lacombe,0.93128973,-1.1381183
Lemoine,1.2579718,-1.0922258
Bachar,0.7290411,-1.2967455
Lou,1.9619057,-1.0355042
Roland,0.72401816,-0.33951125
Ghozlan,1.7880552,-1.1928968
Bardella,1.4640676,-0.33427992
Kim,1.5273839,-0.8852883
madame,1.4268107,-0.97043717
AKK,1.149191,-0.38595235
Ruquier,1.1629655,-0.7741902
Fromet,1.3479911,-0.8080846
Sanders,1.0955795,-0.34936303
Samuel,1.0567808,-0.875066
Anthony,1.5723999,-0.372406
Blanquer,0.8265691,-0.7297525
Hassin,1.4348528,-0.62388927
Gainsbourg,1.5199745,-1.0055509
Torrijos,0.6766618,-0.34327027
Schiappa,0.9629117,-0.80924827
Griveaux,2.108841,-0.36222607
Thomas,0.4112428,-0.46096563
Jeffrey,1.4298452,-0.571552
Marielle,1.244617,-0.72209793
Léa,1.4937055,-1.1510507
Castex,0.8265896,-0.9248336
NotreDame,1.2240803,-0.23395966
Cazeneuve,1.4498584,-0.8379948
Buzyn,0.8746837,-0.2500494
Deschamps,1.4754584,-0.7167093
Moïse,0.8960577,-0.52285755
Solly,1.72746,-0.5827855
August,1.1575626,-0.7465984
Sonia,1.1005392,-0.9333475
Chevènement,1.0710932,-0.56234753
Tarrant,0.7213472,-1.5539467
Marc,1.124299,-0.8088269
Lancelin,1.2032461,-0.33231682
Landru,1.7110374,-0.9735968
Isabelle,1.2452085,-0.5652493
Duclert,1.5139335,-0.67957187
Massoud,1.3663523,-1.0871043
Roosevelt,1.1421324,-0.44828308
Delphine,0.95761186,-1.304278
Julie,1.1748801,-0.63417786
Cynthia,0.9857385,-0.13431732
Simone,0.7661116,-1.0143939
Damien,0.56664765,-0.112561695
Guillon,1.4091066,-0.8905848
Barthès,0.7075015,-0.47496092
Marie,1.3730763,-0.66589993
Dupond,0.7089445,-0.7209924
Yseult,1.1623017,-0.13250636
Belattar,0.8229226,-1.13993
Orbán,0.5741393,-0.7305003
Wikileaks,1.1431026,-0.94677895
Servan-Schreiber,1.4597459,-0.6353975
Assange,1.4403073,-1.2007306
Nabilla,0.967278,-1.0331373
Cédric,0.2768136,-0.3429398
Anne,0.6025777,-0.76087946
Muriel,1.2513372,-0.3386392
Baffie,1.0532546,-0.5625203
Lumières,1.049234,-0.41859606
Lilti,0.9054292,-0.66863966
Naulleau,0.21978846,-0.34248656
Serge,0.4401121,-0.67624533
Soros,0.93308914,-0.46726057
Milchan,1.2187026,-0.87030107
Dray,1.0212806,-1.1700908
Drucker,1.5858545,-0.16503884
Sirhan,0.95913124,-0.60464215
Mike,0.76413095,-0.12021649
Markus,0.63480353,-0.69106346
Pétain,1.0786242,-0.36414012
Emmanuelle,0.91715395,-1.1702582
Richard,1.0955856,-0.8008578
AUKUS,0.5057638,-0.46608067
Klaus,0.7248633,-0.4283531
Saleh,0.98666507,-0.9668989
Kaufman,1.0593991,-0.49224994
Herf,1.1997461,-0.91176546
Bilal,0.8495826,-0.46502274
Lefèvre,1.1487441,-0.94824487
Béatrice,1.0768039,-0.33325043
Bachelot,1.4374918,-0.6962298
RTE,0.67132986,-0.824997
Azoulay,0.44791892,-1.1333936
Bolsonaro,0.6662915,-1.0091974
Greta,1.099804,-0.8723098
Polanski,0.99151915,-0.55983454
Riss,0.96815217,-0.8658527
Emmanuel,1.3713835,-0.033633396
Juan,0.898684,-0.23366365
Julian,0.49101207,-0.23632511
Proudhon,0.8190398,-0.4044191
Jean-Luc,1.0476333,-0.26253206
Gillery,0.6478271,0.026981981
Steven,1.106177,-0.92320716
Karine,0.5377984,-1.0605541
Cassandre,0.6547545,-0.49165404
Kadyrov,0.6208447,-1.1125778
Abel,1.3590066,-0.6140324
Guy,0.42490548,-0.78344816
Moualek,0.5640784,-0.6173666
Fries,0.97455245,-0.6775227
Lopez,0.775454,-0.8818227
Arno,1.2714769,-0.3636309
Knobel,1.2499979,-0.5171398
Blanc,0.8123094,-0.7287114
Ghislaine,0.88666314,-1.0740987
Hillary,0.42544013,-0.675402
Cécile,1.4165671,-0.210913
Maduro,0.316425,-0.8116075
Barack,0.3917178,-0.5779493
Trotski,0.17667012,-0.93838984
Testut,0.34390154,-0.7713818
Corbière,0.5011475,-0.76205385
Himmler,0.5170775,-0.46388012
Vidal,0.28279486,-0.6195616
Wonder,1.017017,-0.0041891173
Fang,0.4037476,-0.6499058
Joan,0.88036275,-1.0067395
Loukachenko,1.0022494,-0.26059654
Estrosi,0.922855,-0.8356403
Badinter,0.6554977,-1.0070139
Kierkegaard,0.84159976,-0.09763968
Madonna,0.9706638,-0.18381195
Louis,1.0577748,-0.6717116
Debeliou,1.2485116,-0.8088998
Necker,0.5422149,-0.6957772
Vanessa,0.5748819,-0.59012073
Bensaïd,1.1123163,-0.2175933
Combes,0.8324722,-0.5849049
Merkel,0.78993833,-0.78740263
Crépuscule,1.2231581,-0.09192335
Ameline,0.5279175,-0.49082917
Fourniret,1.0613121,-0.72465926
Graët,0.5451463,-1.0508789
Goebbels,0.9363756,-0.31194377
Cristina,1.371239,-1.0827515
Vallat,0.9347537,-0.3410251
Éric,0.5619128,-0.32260233
Vierge,0.33468813,-0.9560554
Bastié,0.8530963,-0.03352512
Jakubowicz,1.1502913,-0.17259832
Pelevine,0.72134304,-0.075607054
Kev,0.7228028,-0.5414323
Afoua,0.9499199,-0.30448067
Danièle,1.2022043,-0.7606106
Tedros,0.86401993,-0.87398297
Gisèle,0.6910691,-1.0086975
Fabius,0.27528548,0.1477633
Grave,0.7031604,-0.33639854
Sanhédrin,0.81169146,0.22362338
Brahim,0.49748558,-0.7057142
Bedos,1.6843567,-0.45701554
Thuthu,0.5479964,-0.8346607
Pannier-Runacher,0.5293811,-0.5938153
Maria,1.1677657,-0.7387518
Biya,0.61958313,-0.40421894
Tesson,0.8999135,-0.504502
Mabrouk,0.9404438,-0.45006347
Elliot,0.5037661,-0.4966355
Gardères,0.9598805,-0.43605262
Goldstein,0.98337376,-0.28440988
Ben,0.47204897,-0.51679754
Ulrich,1.1603466,-0.08749208
Apolline,0.5749266,-0.7949251
Marx,1.031233,-0.74416345
Mao,0.81180763,-0.1579369
Jomier,0.7217434,-0.14014095
Consigny,0.37216076,-0.5436604
Abaaoud,0.5633701,-0.42633662
Soleimani,1.1200303,-0.08735776
Artsakh,0.6317071,-0.31351823
Angot,0.6939909,-0.5940437
Didier,0.26769444,-0.81178755
Marchons,0.46081945,-1.0311577
Palavasiens,0.98623276,-0.6772193
Korsia,0.80947906,-0.6064257
Mahomet,0.54475176,0.19059077
Marlène,0.4163696,-1.1252786
Larosière,0.27938217,-0.50010055
Besancenot,0.45497042,-0.79036134
Jean-Yves,0.3384153,-0.40736803
Taubira,0.49685436,-1.0384402
Glucksmann,0.44749638,-0.7697647
Bellamy,0.06620629,-0.6834334
Audiard,0.6879663,-0.68817025
Alexis,0.9912866,-0.33836243
Glenn,0.3977974,-0.06755476
Weill,0.4059754,-0.66659075
Ivermectine,0.24304746,-0.60685235
Carlito,0.6699079,-0.104500234
Karl,0.57395977,-0.203977
Houellebecq,0.8556371,-0.683231
Adam,0.96333086,-0.17953713
Viguier,0.65679646,-0.2014184
covid,0.7326674,-0.6681831
Érec,0.5895838,-0.4724396
Aurélia,0.5569595,-0.74410415
Brigitte,0.93793654,-0.6024995
Spadafora,0.1308788,-0.2821424
Macri,0.57864636,-0.51644903
Assad,0.2354583,-0.3260814
Mostefai,0.49715006,-0.3131277
Lagaffe,1.2552762,-0.8283062
Clara,0.77076566,-0.2849189
Zidane,1.1207358,-0.73489356
Lescure,0.985924,0.04792649
Meyer,0.43926105,-0.45322877
Yassine,0.77990675,-0.6399285
Maurras,-0.061527655,-0.38752073
Ferry,0.75258774,-0.47517982
Bousquet,0.67026085,-0.4019312
Justine,0.57058746,-0.2363342
Kahane,0.7729223,-0.31810093
Encel,0.23852375,-0.86942554
Mona,0.68651044,-0.13376057
