,V1,V2
Zemmour,-0.02656774,0.013459595
Macron,0.2554661,0.4506046
Trump,-0.46737966,-0.35776952
February,0.3301963,0.46487883
Éric,-0.21640716,-0.16853108
Sandrine,0.3970003,-0.052770954
May,-0.2255771,0.3356376
Renaud,-0.2416971,-0.08080909
Mila,0.14964478,0.053474408
Lejeune,-0.40570953,-0.4578703
Pen,0.37142736,0.27116197
Khan,0.3374243,0.05022551
Farrakhan,0.32528463,-0.15682593
Mahomet,-0.050135285,0.31055453
Kimpembe,-0.3743432,-0.19521986
Jakir,-0.37324917,-0.04008679
Alpha,0.48816937,-0.36218277
Villiers,-0.11524793,-0.0928554
David,0.41284478,-0.28872404
Youssoupha,0.004367744,-0.2377035
Pardis,-0.47998142,0.257626
Jeanne,-0.43510962,-0.21429873
Estrosi,-0.0005446795,-0.009930293
Malika,-0.38528016,0.4879551
Darmanin,0.25532475,0.47882727
Tintin,-0.41604322,0.24055754
François,-0.20084356,0.059713844
Solages,0.4302198,-0.21677114
Emmanuel,0.22779869,-0.33513945
Mélenchon,-0.17308982,0.47965294
Elisabeth,-0.076871105,0.021752467
Attentat,-0.19410422,-0.37514052
Mohamed,-0.075620666,0.13398747
Karimi,-0.04424452,0.28613842
Facealinfo,-0.13714886,0.113003254
Finkielkraut,0.27437323,0.42283407
Momo,-0.060982984,-0.4450729
Chérine,0.2230588,0.034768693
Hamel,0.37654617,-0.035122447
Jacques,-0.12693655,-0.42264235
Louis,-0.04151439,0.15939382
Rashid,0.27664354,0.38608366
Allah,-0.28163227,0.09923143
Thuram,0.30968818,-0.23180671
Samar,-0.15224157,0.35322383
Bernie,0.086904794,0.028564105
Maurice,0.17793106,0.020157186
Neckartailfingen,0.48628068,0.2660384
Montfortains,-0.44319618,-0.3485112
Ahmed,0.046361107,0.33025914
Aymane,-0.42599177,0.19744898
Gwendoline,0.2611457,0.29093465
