,V1,V2
Président,-0.05716244,0.03613522
Barkhane,0.2549248,0.47982174
Macron,-0.49127427,-0.3260124
Déby,0.4004096,0.6101761
IBK,-0.2734937,-0.1753019
Wagner,0.36581805,-0.0698096
Cedeao,-0.26468068,0.3492598
Habré,-0.2578217,-0.03419223
Ouattara,0.12526703,0.07388971
Buyoya,-0.520977,-0.5402029
Bouteflika,0.37085882,0.3015046
Bozizé,0.33732024,0.030442318
Roukiatou,0.3295058,-0.13862574
Ousmane,-0.122569956,0.32970977
Haftar,-0.391249,-0.18125843
Arafat,-0.4488964,0.010963148
Lavrov,0.46979803,-0.33239222
Gnassingbé,-0.14785023,-0.024817884
Jammeh,0.37897596,-0.24417692
Zemmour,-0.023256166,-0.24752711
Tenkeu,-0.523266,0.32632273
Oumarou,-0.4626554,-0.21720356
Borkane,-0.036187798,-0.027321277
Afrikajom,-0.39210695,0.50245196
Tine,0.23666334,0.5378054
Barrow,-0.40296453,0.28209054
Kadhafi,-0.26038817,0.07298208
Biden,0.42491066,-0.23528713
Boubou,0.22020175,-0.32603112
Darmanin,-0.20114586,0.50735897
Tebboune,-0.08512514,0.041421168
Assimi,-0.23116373,-0.35531875
Roland,-0.09125471,0.16195749
Hissène,-0.06442982,0.32553384
Irini,-0.17335287,0.12692952
Hogard,0.26715124,0.4284304
Gompertz,-0.11536761,-0.42154685
Faure,0.20488279,0.049013097
Muller,0.33740723,0.024615569
Lounnas,-0.19946715,-0.44621155
Lamamra,-0.036653224,0.21743348
Alioune,0.2631522,0.43210033
Macky,-0.30437374,0.12700415
Achille,0.2901831,-0.2381415
Peuls,-0.18966164,0.382945
Gallagher,0.0817053,0.027385462
Trump,0.17258905,0.011964772
Droukdel,0.47471836,0.27769357
Adama,-0.48647827,-0.3402775
Ramdane,0.018646855,0.33656853
Blasco,-0.44721887,0.18976608
Dupuy,0.2519945,0.3121524
Yuriko,0.3645917,-0.29371288
Ahmed,0.058314838,0.32695115
Davido,-0.18263645,-0.26159042
REP,-0.039274357,-0.42129695
Télémédecine,-0.29856232,0.39133915
Maduro,0.1609056,0.37851045
vice-Premier,0.3344727,0.45004877
Séga,-0.19470929,-0.009422173
Mackinder,0.10841799,-0.20469481
Goïta,0.41520482,-0.4863187
Nialbé,0.33132356,0.1741065
César,-0.26787436,0.21462066
Trudeau,-0.09006977,0.3773692
Kira,0.4940213,-0.21205841
Poutine,-0.039521918,-0.2747329
