,V1,V2
Barkhane,0.36141557,0.6868196
Washington,0.5585843,1.0158036
Macron,0.23695022,0.8777359
Ouattara,0.8065464,1.2324687
Tshisekedi,0.0997008,0.520443
Kabila,0.76711535,0.6533508
Wagner,0.10388461,0.9506762
Touadéra,0.12494654,0.59713244
IBK,0.28630736,0.32374924
Dicko,-0.19973351,0.010480735
Bozizé,0.89313465,1.2326603
Déby,0.56157684,0.39441577
Gbagbo,1.0138023,0.88862675
Biden,0.26034078,0.8688594
Kaboré,-0.011809885,0.59306264
Haftar,-0.07232815,0.6495413
Palma,1.0305953,0.46659726
Monusco,0.3711192,0.7761443
Biya,0.80450857,0.36488855
Sankara,0.60973954,0.89656854
Trump,-0.24853219,0.72787625
Talon,-0.08376986,0.5798412
Touadera,0.37722656,0.7148005
Deby,-0.1308812,1.0711845
Bazoum,0.588296,0.99904764
tchadien,-0.1392794,0.8831537
Sall,0.11286872,0.62921757
Guelleh,0.7169641,0.2833755
Nkurunziza,0.57724345,0.37443408
Issoufou,0.013278394,0.8874793
Saïed,0.47283572,1.1130133
Nagy,0.27001256,0.6111757
Bongo,0.21774104,0.85116684
Diallo,0.32287517,1.0766631
Buhari,0.20090406,0.9140233
Opex360,0.3974064,0.63892764
Abiy,0.54649997,0.62866765
Poutine,0.4215632,0.41439068
Bouteflika,0.7676825,0.6601841
Tebboune,0.3540919,0.47821394
Lavrov,0.321494,0.7911574
Monsieur,0.6598643,1.0159631
Zakzaky,-0.1281963,0.43833017
Assoumani,0.7412845,0.55703634
Cavusoglu,0.15813118,1.1045449
Hale,0.61258584,0.9731336
Drian,0.5394519,0.5961082
Nyusi,0.9588049,0.94684064
Kafolo,-0.12428353,0.27565926
Goïta,0.39858046,1.039682
Barkane,-0.13865823,0.8545202
Museveni,0.6815815,1.0710095
Doumbouya,0.79151344,0.36806074
Castaner,0.32368162,0.9709598
Kiir,0.3821765,0.64752656
B2Gold,0.3266809,0.20363814
Imam,-0.039759774,0.90821373
Ansarallah,0.27410337,0.5609194
Daw,0.6502371,0.9869267
Raïssi,0.25346,0.86056566
Perenco,0.4423134,0.31584468
Goita,0.7302647,0.08442293
Arafat,0.61449945,0.6832275
Nasrallah,0.062327325,0.80232644
Prophète,0.08932748,0.6720314
Juba,0.72814053,0.19284305
Keïta,0.24353687,0.23128779
Salva,0.60347205,0.8586999
Kobine,0.50950515,0.61992425
Muharram,0.57302934,0.6446007
Azali,0.67184764,0.12734526
Sarkozy,-0.2890322,0.31802478
Zelensky,0.16271335,1.0025074
Sonangol,0.5278313,0.3773805
Cissé,0.30355036,0.44653887
Boni,0.5558294,-0.14728005
