People,Somme des valeurs
Macron,322
Trump,75
Président,70
Poutine,50
Navalny,49
Haftar,45
Zemmour,43
Castaner,37
Benalla,36
Bardot,36
Mélenchon,32
Erdogan,31
Pen,31
Hidalgo,30
Darmanin,29
Raoult,27
Bouteflika,27
Castex,26
Biden,25
Ahmadi,24
Porochenko,24
Mihalchevskiy,24
République,23
Legault,22
Mila,21
Floyd,20
Schiappa,20
Gbagbo,19
Snowden,18
Gaulle,18
Epstein,17
Washington,17
Blanquer,17
Véran,16
Assange,16
Ciotti,16
Merkel,16
Maduro,16
Brok-Beltsova,15
Audin,15
Drian,14
Gave,14
Cadène,14
ministre,14
Louadj,13
Bloomberg,13
Pécresse,13
Mariani,13
Jubillar,13
Paty,13
Eto’o,13
Langlois,13
Pesquet,13
Baloch,13
Asselineau,13
Guaido,13
Zelensky,13
Raufer,12
Mahomet,12
Ramadan,12
Buzyn,12
Trudeau,11
Dorion,11
Attal,11
Philippot,11
Morano,11
Collon,11
Kochelev,11
Kierzek,10
Dussey,10
Drareni,10
Dupont-Aignan,10
Solovova,10
Bitar,10
Muselier,10
Bianco,10
Masse,10
Elena,10
Arnault,10
Tabib,10
Grec,10
Drouet,10
Diallo,9
Rousseau,9
Traoré,9
Vdovin,9
BHL,9
Chirac,9
Boudiaf,9
Hesler,9
Bolton,9
Soral,8
Bernard,8
Aubouin,8
Thomas,8
Galina,8
Zarif,8
Ahidjo,8
Perez,8
Johnson,8
Marianne,8
Olivier,8
Cocq,8
Provos,8
Munyangi,8
Talamoni,8
Chérif,8
Murgia,8
Husson,8
Lévy,8
Tribaudeau,8
Hébert,8
публикацию,7
Protassevitch,7
Yegavian,7
Pompeo,7
Carlito,7
Lannes,7
Ndiaye,7
Chinsky,7
Pauget,7
Griveaux,7
Flahault,7
Noam,7
Lagarde,7
Meriot,7
Depardieu,7
Soufi,7
Loukachenko,7
Bolsonaro,7
Borgo,7
Duchêne,7
Skripal,7
Déby,7
VI,7
Rosa,7
Bozzi,7
Biada,7
Kamto,7
Lavrov,7
Mehenni,7
Bertrand,7
Rami,7
Mirkovic,6
Dati,6
Maurin,6
Koulibaly,6
Huet,6
Fraisse,6
Matignon,6
Eudeline,6
Harchaouim,6
Dénécé,6
Finkielkraut,6
Ignatenko,6
Diab,6
Mongue-Mouyeme,6
Hureaux,6
Handfield,6
Gibaud,6
Fleury,6
Goulard,6
Bouchard,6
Philippe,6
Boukadoum,6
Billion,6
Chengriha,6
Bourita,6
Bern,6
Rimbaud,6
Ramaux,6
Buisine,6
Pulvar,6
Pialoux,6
Belloubet,6
Camille,6
Bolloré,6
Bastien,6
français,6
Tebboune,6
Pavlenski,6
Beaune,6
Pascot,6
Tchumtchoua,6
Bayrou,6
turc,6
Babis,5
Emmanuel,5
Thunberg,5
Simonneau,5
Jolivet,5
Sidaoui,5
Lopez,5
Filoche,5
Bahout,5
Travers,5
Laporte,5
Sève,5
Benzema,5
Ivkine,5
Sébille-Lopez,5
Sérénus,5
Fadelle,5
Scarbonchi,5
Lacaze,5
Thoorens,5
Anderson,5
Morales,5
McFly,5
Zelenski,5
Rajoelina,5
Raviot,5
Ghannad,5
Marine,5
Boutina,5
Diop,5
Mara,5
Costantini,5
Boumaârafi,5
Moreno,5
Ruquier,5
Mourad,5
Gaudon,5
Abderrahim,5
Salomon,5
Pétain,5
Théophane,4
Gudin,4
artémisia,4
malgache,4
Jobs,4
Hatem,4
Timkiv,4
Zaïtsev,4
Hassani,4
Harrel,4
Vincent,4
Vilmer,4
Hilale,4
Vadim,4
Vallat,4
Victor,4
Henry,4
Thooris,4
Nasr,4
Laurier,4
Thill,4
Jordana,4
Mtsitouridze,4
Noël,4
Orban,4
Moix,4
Mogherini,4
Godard,4
Milla,4
Messiha,4
Raccah,4
Riester,4
Market,4
Rohani,4
Royal,4
Régis,4
Salvini,4
Sarkozy,4
Lisnard,4
Sellier,4
Lebedev,4
Soleimani,4
Sputnik,4
Staline,4
Stora,4
Lassalle,4
Lambert,4
Taddeo,4
Tchang,4
#Chirac,4
Lellouche,4
Fontanet,4
Blanc,4
Gnassingbé,4
Benazet,4
Fontenay,4
Boyer,4
Cheminade,4
Chenu,4
Dubourg,4
BY,4
Druzhinin,4
Bouzid,4
Choïgou,4
Aubry,4
Auclert,4
Conte,4
Blinov,4
Bezpalko,4
Adama,4
Carbonnier,4
Deschamps,4
Bakir,4
Béchir,4
Askar,4
Girard,4
Fabre-Grenet,4
Caniço,4
Burgat,4
Emelien,4
Beauvau,4
Dettinger,3
Bizard,3
Djoudi,3
Mallet,3
SolovovaEntre,3
Madi,3
Macé-Scaron,3
Malbert,3
Billoux,3
Son-Forget,3
Slate,3
Lounnas,3
Sourbès-Verger,3
M.Bellamy,3
Lanquar-Castiel,3
Lariitchouk,3
Bardella,3
Barkhane,3
Lefebvre,3
Dupuy,3
Libog,3
Lignier,3
Beltsov,3
Benedetti,3
Bennett,3
Sergueï,3
Luce,3
Lutti,3
Berger,3
Sidati,3
Goudé,3
Serge,3
Senoussi,3
Chollet,3
Chipenko,3
Robert,3
Nin,3
Nzié,3
Obiang,3
Chatin,3
Oppelt,3
Ouattara,3
Oulianov,3
Brisset,3
Brok,3
Radisson,3
Peressild,3
Périer,3
Perronne,3
Pinelli,3
Bélanger,3
Bégaudeau,3
Rossi,3
Cinquin,3
Roublev,3
DARMANIN,3
Boisvenu,3
Matzneff,3
Delafosse,3
Maurras,3
Scholz,3
Mechkov,3
Bonato,3
Mercier,3
Sapir,3
Colo,3
Metge,3
Croo,3
Salah,3
Mitterrand,3
Sah,3
Mondoloni,3
Monville,3
Ruffin,3
Tin,3
Prophète,3
Hugo,3
Ford,3
B.,3
Hollande,3
Ifrak,3
Azergui,3
Frath,3
Kharief,3
Valle,3
Allilat,3
Valls,3
Harpon,3
Kawasaki,3
Karima,3
di,3
Zoubir,3
d'Estaing,3
KIERZEK⚡👨‍⚕️,3
Wakrim,3
Foncha,3
Vizio,3
Vouzelaud,3
Ferroli,3
BE-200,3
Amir-Aslani,3
Hautemanière,3
Lamamra,3
Ginolin,3
Gündüzpolat,3
Abarry,3
Fortin,3
Lamballe,3
François,3
Giuliani,3
tunisien,3
Townsend,3
Labeyrie,3
Kuaté,3
Tournon,3
Risser,2
Rockefeller,2
Röttgen,2
Bouhafs,2
Bossche,2
Rutte,2
algérien,2
anti-Covid,2
Riquier,2
Rodrigues,2
Boumediene,2
Afro-Américain,2
Bousquet,2
Roussel,2
Bourguignon,2
Rozier,2
Bouzrou,2
Zakharova,2
RossignolMusiciens,2
Ronen,2
Zamora,2
Rugy,2
Rojas,2
Boulin,2
Al-Husseini,2
Zakhar,2
Akylbek,2
Rodtchenko,2
Tine,2
Rieu,2
Bross,2
Abramov,2
Brown,2
Quatennens,2
Brugère,2
malien,2
Aberkane,2
Péricard,2
russe,2
Brun,2
Bur,2
Psaki,2
Prévost,2
Abe,2
Préparatifs,2
Prud'homme,2
Buzzanca,2
ukrainien,2
Raimbaud,2
Rama,2
Adhanom,2
libanais,2
Richard,2
berger,2
Ricard,2
Retadup,2
Renaud,2
Sabban,2
Reichstadt,2
d’Escufon,2
RawlinsDébordements,2
Braga,2
Bravo,2
francetvinfo,2
jaune,2
Brighelli,2
Ranst,2
Brigitte,2
l'Avvene,2
ReinaDes,2
Salvador,2
Sadovnitchi,2
Steve,2
Séchet,2
UlfianaJeune,2
Berenson,2
Ayewouadan,2
Valetta-Ardisson,2
Aufort,2
Sy,2
Su-25SM3,2
Besset,2
Belmadi,2
Privalov,2
Spears,2
Sourisseau,2
Veaux,2
Soro,2
Vermote,2
Vignal,2
Viguier,2
Trintignant,2
Tarassova,2
Zagitova,2
Thatcher,2
Timour,2
Tolochko,2
Tikhanovskaïa,2
Tolstoï,2
BaltasSpectateurs,2
Barnier,2
Baudry,2
Bayou,2
Badi,2
Belattar,2
Tessier,2
Terzieff,2
Tellier,2
Tehan,2
Bachelot,2
TriballeauEntraîneur,2
TribaudeauDenis,2
Becerril,2
Astapkovich,2
Biya,2
Assafov,2
Bonnet,2
Wolinski,2
Saïd,2
Savary,2
Satan,2
Sarraj,2
Andreea,2
Sarlat,2
Boniface,2
Borrell,2
Vitaly,2
Salmane,2
Sall,2
Yi,2
Salamé,2
SalahaLe,2
Young,2
Yégavian,2
Saint-Martin,2
Scarborough,2
SchemidtManifestation,2
Wikileaks,2
Bombardier,2
Vodovar,2
Volker,2
Bobrovitch,2
Véron,2
Simo,2
Silguy,2
Wadephul,2
Boisrond,2
WahilInondation,2
Walz,2
Aoun,2
Watani,2
Wespiser,2
Sedille,2
Schwab,2
Schraen,2
Wieler,2
Besson,2
Ogliastro,2
Pradel,2
Fedorov,2
Facy,2
LaizansParticipants,2
Fainzilberg,2
Faure,2
Kudenko,2
Kuate,2
Kramp-Karrenbauer,2
February,2
Kouachi,2
Kotarac,2
Korolev,2
Klimentyev,2
Laporta,2
KlamarLe,2
King,2
Feigl-Ding,2
Kieny,2
Khors,2
Khaltunen,2
Khadad,2
Keïta,2
Keita,2
KaritaUn,2
FergoLe,2
Fabien,2
Estrosi,2
Drogba,2
Lind,2
Luxe,2
Luciani,2
Lorrain,2
LopezMannequins,2
LopezInstallation,2
Duhamel,2
Longini,2
Loiseau,2
Locht,2
Lo,2
Dupond-Moretti,2
Lhermitte,2
Larcher,2
Leyen,2
Lesale,2
Leroy,2
4.0,2
Lecornu,2
Lechanteux,2
Duseux,2
Lazarev,2
Lawson,2
Elabe,2
Erhel,2
Kahn,2
Kadhafi,2
Kaboulov,2
Gendre,2
Frost,2
Herpen,2
Herlin,2
Galloway,2
Haïry,2
Hazem,2
Hautemaniere,2
Garanine,2
Garnier,2
Harris,2
Gazenbeek,2
