People,Somme des valeurs
Macron,487
Barkhane,285
Washington,211
Trump,150
Biden,109
Ansarallah,67
Haftar,63
Ouattara,59
Poutine,57
Ahmed,56
Tshisekedi,49
Bozizé,48
Parly,45
Sall,44
Biya,39
Wagner,37
Pompeo,36
Erdogan,35
Touadéra,35
Rohani,33
ministre,32
Condé,32
Drian,31
Lavrov,31
Sankara,28
Gbagbo,27
Dicko,27
Hariri,26
Nasrallah,25
Déby,24
Stoltenberg,21
Nyusi,21
Touadera,20
IBK,20
Nagy,19
Maduro,18
Kabila,18
Zemmour,18
Gaulle,17
Bongo,17
Merkel,16
Palma,15
Netanyahu,15
Guaido,14
Rodrigues,14
Dortiguier,14
Johnson,14
Salmane,14
Talon,13
Diallo,13
Nkurunziza,13
Pham,13
Raïssi,12
Kaboré,12
Itno,12
Bazoum,12
Saïed,11
Navalny,11
Aoun,11
Bain,11
Bouteflika,10
Guterres,10
Petronin,10
Qassemi,10
Zouari,10
Gantz,10
Austin,10
Deby,9
Bédié,9
Lacroix,9
Khamenei,9
Floyd,9
May,9
Kamto,9
Kafolo,9
Hatami,9
Michel,8
Jinping,8
Doumbia,8
Develay,8
Abbas,8
Khashoggi,8
Choïgou,8
AUKUS,8
Fillon,8
Saddam,8
Zelensky,8
Bagheri,8
Photonis,8
el-Béchir,8
Maire,7
Orban,7
Assad,7
Saree,7
Jackson,7
République,7
Maio,7
Jésus,7
Soleimani,7
Keïta,7
Guen,7
Mekonnen,7
Salah,6
Cissé,6
Asselineau,6
Atwan,6
Chamy,6
Zarif,6
Issoufou,6
Salehi,6
Giuliani,6
Cavusoglu,6
Arafat,6
Tshibala,6
Goïta,6
Goudé,6
Khanzadi,6
Bokassa,6
Rivlin,6
Koné,6
Prophète,6
Rajoelina,6
COVID-19,6
Guelleh,5
Gresh,5
Sarkozy,5
Delevoye,5
Williamson,5
Shah,5
Maïga,5
Darmanin,5
Chamkhani,5
Diaw,5
Amir-Abdollahian,5
Hammer,5
Djotodia,5
Borrell,5
Yuma,5
Larijani,5
Atlantiste,5
Feltman,5
Compaoré,5
Moïse,5
Latif,5
Aliev,5
Grossi,4
Nguema,4
Nguesso,4
Wattao,4
Morrison,4
Vallat,4
Yi,4
Hadi,4
la,4
Opex.360,4
Finkielkraut,4
Shekau,4
Ternin,4
Jammeh,4
Ray,4
Khadafi,4
Kouranov,4
Rached,4
Kadhafi,4
Moussavi,4
Lecointre,4
Sanogo,4
Lemoine,4
Haram,4
Loiseau,4
Lomé,4
Instex,4
Mahdi,4
Hussein,4
Hollande,4
Sidati,4
Opex360,4
Morawiecki,4
Khodorkovsky,4
Bohigian,4
Burkhard,4
Adib,4
Dembélé,4
Emié,4
Blair,4
Coulibaly,4
Barrow,4
Blanquer,4
Diab,4
Blinken,4
Esper,4
Akufo-Addo,4
Bell,4
Farhan,4
B.,4
Ayatollah,4
Bayala,4
Mills,3
Amal,3
Mondjo,3
Szijjarto,3
Kalifat,3
Molotov,3
Kalifa,3
Kahn,3
Citoyen,3
Thiébaud,3
Tang,3
Renouard,3
Saleh,3
Traoré,3
Alphonse,3
Reis,3
Mokdad,3
Biia,3
Kazagui,3
Araud,3
Mackenzie,3
Loukachenko,3
Lori,3
Sales,3
Mahamat,3
Lemoyne,3
Majuk,3
Burton,3
Lansana,3
Assomo,3
Mandy,3
Solages,3
Rovera,3
Mark,3
Schäuble,3
Marzouki,3
Cameron,3
Mboso,3
Sivillon,3
Chaayafa,3
Khan,3
Bouba,3
Mekele,3
MBS,3
Ngrebada,3
Achieng,3
Obiang,3
al-Atifi,3
Ditengou,3
Xie,3
Qamati,3
Nordgold,3
Harris,3
Wade,3
Goldenberg,3
Abrams,3
Gaule,3
Vilmer,3
Qun,3
Abdoulaye,3
Zakzaky,3
Gromyko,3
Pereira,3
Ménard,3
Nur,3
Paty,3
Diop,3
Rupert,2
Philip,2
Roosevelt,2
Baroua,2
Raissi,2
Peskov,2
Saab,2
Asman,2
Bal’haf,2
Perrin,2
Saga,2
Sahéliens,2
Sajjan,2
Ashkenazi,2
Salami,2
Pence,2
Pellistrandi,2
Aurora,2
Pr,2
Rodriguez,2
Ayadi,2
Rami,2
Rashid,2
Rabiee,2
Azali,2
Ayham,2
Redwan,2
Raad,2
Renon,2
Quignolot,2
Bachar,2
Qandil,2
Revel,2
Qaani,2
Pétronin,2
Président,2
Baghdadi,2
Reznikov,2
Prigojine,2
Riabkov,2
Robb,2
Premier,2
Pradel,2
Babiš,2
Bahman,2
Balhaf,2
Rawlings,2
Schröder,2
Asecna,2
Yaalon,2
Wemba,2
Wei,2
Aghaï,2
Agouna,2
Wang,2
Walton,2
Wallace,2
Ahmadinejad,2
Véron,2
Vircoulon,2
Vaz,2
Valouïev,2
Ulyanov,2
Tzu,2
Turmes,2
Tsydenjapov,2
Al-Arda,2
Wu,2
Yakis,2
Al-Youm,2
Yalo,2
russe,2
Abdelaziz,2
malien,2
Abdessalam,2
haïtien,2
al-Maliki,2
al-Dayer,2
al-Baghdadi,2
Abe,2
Achi,2
Zayed,2
Zasypkin,2
Adama,2
Addo,2
Yevmenov,2
Yeshanew,2
Yehia,2
Tshiekedi-Kabila,2
Alaoui,2
Asar,2
Simeoni,2
Anez,2
Shanahan,2
Shamkhani,2
Antipas,2
Bassil,2
Schiappa,2
Araqchi,2
Sawadogo,2
Sarii,2
Arfi,2
Ariane,2
