People,Somme des valeurs
Macron,456
Zemmour,437
Soral,352
Vernochet,313
Trump,167
Raoult,145
Dieudonné,107
BHL,106
Journal,106
Pen,101
Epstein,88
Biden,88
Poutine,86
Valls,79
Hitler,78
Mitterrand,72
Viguier,67
Bourbon,67
Staline,65
Sarkozy,59
Poussard,57
Lévy,56
Tapie,55
Traoré,54
Kennedy,53
Mélenchon,52
Attali,50
Ryssen,50
Onfray,47
Washington,46
Gaulle,43
Gantois,42
Noriega,40
Belliot,39
Napoléon,39
Céline,39
Moix,37
Netanyahou,34
Castex,34
Souvorov,33
Asselineau,33
Johnson,33
Goldnadel,33
Aphatie,32
Chirac,32
Ménès,31
Finkielkraut,30
Lacombe,30
Philippe,30
Castaner,28
Matzneff,28
Darbois,27
Solomon,26
Hariri,26
Véran,26
Todd,26
Hindi,26
Bégaudeau,26
Casasnovas,26
Gates,25
Ardisson,25
ministre,24
Obama,24
Cerise,24
Christ,24
Rivarol,23
Corbyn,23
Mila,22
Buzyn,22
Laden,21
Clinton,21
Branco,21
Fenech,20
Benalla,20
Cohen,19
Obono,19
Floyd,19
Rougemont,19
Wargon,18
XIII,18
Blanquer,18
Gollnisch,18
Oswald,18
Brunel,18
Rugy,18
Gad,18
Président,18
February,17
Nicolle,17
Vincent,17
Griveaux,17
Marianne,16
Dante,16
Jardin,16
Guyénot,16
Malka,16
Mouzin,16
Erdoğan,16
Lapierre,16
Lambert,16
Veil,16
Merkel,16
Churchill,15
Covid,15
Lang,15
Julia,15
Philippot,15
Hollande,15
Harari,15
Madoff,15
Robert,15
Estrosi,15
Maxwell,14
Kalifat,14
Chouard,14
Guaino,14
Kies,14
Arias,14
Barthès,14
Notre-Dame,14
Isis,14
Elkrief,14
Alain,13
Booba,13
Hidalgo,13
Louis,13
Orbán,13
Navalny,13
Ghozlan,13
Damien,13
Schiappa,13
Yann,13
Vicherat,13
Caumes,13
Satan,12
Drouet,12
Bigard,12
Fourniret,12
Cazeneuve,12
République,12
Kahn,12
Thierry,12
César,12
Lancelin,11
Aymeric,11
Manu,11
Donald,11
Nuland,11
Bourdin,11
Adama,11
Assange,11
Page,11
Voltaire,11
Lénine,11
Habib,11
Soros,11
Delawarde,11
Klarsfeld,11
Halimi,11
Clément,11
Dupond,10
Dame,10
Bouamama,10
Glucksmann,10
Samuel,10
Spielberg,10
Sanders,10
François,10
Truchot,10
Langlois,10
Tristan,10
Darmanin,10
Moïse,10
Bush,10
Pécresse,10
Pr,10
Naulleau,10
Sophia,10
On,10
Fromet,10
Marty,10
Marielle,10
Gerbi,10
Belattar,10
Azergui,10
Marx,10
Guillon,10
Lou,10
Fischer,10
Elmaleh,10
Maillard,10
Alexandre,10
Marine,10
Bardella,10
Benzema,9
Charline,9
Charlie,9
Amadou,9
Royal,9
Landru,9
Michel,9
Hassin,9
Deschamps,9
Portolano,9
Monsieur,9
B,9
Morandini,9
Gabin,9
Greensill,9
Olivennes,9
Lilti,9
Malvaës,9
Conrad,9
Goebbels,9
Lemoine,9
Dupont-Aignan,9
Hassani,9
Balili,9
COVID-19,9
Solly,9
Drucker,9
Lopez,9
Baffie,8
AKK,8
Kouchner,8
Moreau,8
II,8
Jinping,8
Jadot,8
Sancery,8
Thomas,8
Reiser,8
Ferry,8
Riss,8
Anthony,8
Ruquier,8
Rajsfus,8
Yseult,8
Ménard,8
Legay,8
Roosevelt,8
Diallo,8
Hugo,8
Gourion,8
