People,Somme des valeurs
Zemmour,112
Macron,75
Mélenchon,34
Rieu,32
Obono,32
Darmanin,26
Trump,24
Green,20
Pen,20
Éric,16
Sandrine,14
May,14
Bouhafs,14
February,13
Villiers,12
Khan,12
Ravier,12
A.,11
Pécresse,11
Baudry,11
Castex,10
Lejeune,10
Estrosi,10
Mahomet,10
République,10
Piolle,9
Val,9
Lanot,9
Farrakhan,9
Belloubet,9
Pain,9
Mila,8
Ramadan,8
Salvini,8
Samson,8
DARMANIN,8
Philippe,8
Blanc,8
Maire,8
Malika,7
Baudino,7
David,7
Fraisse,7
Kimpembe,7
Allah,7
Dardenne,7
Abayisenga,7
Pernoo,7
Ader,7
Finkielkraut,7
Leschi,7
Solages,7
Pulvar,7
Sautarel,7
Lang,7
Hénin,6
Epstein,6
Paty,6
Houellebecq,6
Castaner,6
Hamel,6
Garrido,6
Jacques,6
#Zemmour,6
חי🇮🇱,6
Daoudi,6
Abbas,6
parison,6
Karimi,6
Momo,6
Elisabeth,6
Mohamed,6
Jeanne,6
Jadot,6
Chérine,6
Cheong,6
Conte,5
Thuram,5
Dubois,5
Sennès,5
S.,5
Rousseau,5
François,5
Ngoss,5
Ruggia,5
Pavlenski,5
Avérous,5
Haenel,5
Youssoupha,5
Maurice,5
Alpha,5
Gwendoline,5
Guillaume,5
Barnier,5
⚖️,5
Hidalgo,5
Berrebouh,5
Bertrand,5
Biden,5
Gourévitch,4
Glad,4
Debré,4
Kardashian,4
Ghali,4
Guterres,4
Sanchez,4
Jakir,4
Schiappa,4
Haas,4
Renaud,4
Hamon,4
Sanson,4
Faruk,4
Herrou,4
Facealinfo,4
Raspail,4
Moïse,4
Rodrigues,4
Prophète,4
Petitcolin,4
zemmour,4
Ahmed,4
Alex,4
Molière,4
Nasr,4
Zemmour#Bordeaux,4
Zekri,4
B.,4
Martin,4
Wallen,4
Bernie,4
Ventura,4
Peltier,4
Belattar,4
Clément,4
Knoll,4
Soros,4
Philippot,4
L.,4
Tancrède,4
Rashid,3
Nicolle,3
Nouri,3
Maël,3
NotreDame,3
Rachel,3
H.,3
Jelassi,3
Pila,3
Neeson,3
Maximi,3
Mokeddem,3
Laborde,3
Monjalous,3
Morandini,3
Multigner,3
Hame,3
Maréchal,3
Lequertier,3
Marine,3
Lopez,3
Luciani,3
Pardis,3
Paludan,3
M2Z,3
Mabrouk,3
Holbein,3
Ronald,3
Palavasiens,3
PalavasTheFlow,3
Mamane,3
Kibble,3
Othmani,3
Hejazipour,3
Peugeot,3
Redouani,3
Marchand,3
Lemoine,3
Faure,3
Chouraqui,3
Ciotti,3
Erdogan,3
Emmanuel,3
Dupond-Moretti,3
Drouet,3
Drian,3
Dobsky,3
Aubry,3
Avia,3
Roth,3
Sarrabeyrouse,3
Cohn-Bendit,3
Salhi,3
Diallo,3
Schwarzer,3
Delevoye,3
Sy,3
Benalla,3
Benalia,3
Dadaou,3
Sourgen,3
Bardella,3
Sonko,3
Eschyle,3
Aspa,3
Fanon,3
Aliot,3
2020.@YoussefGirard,3
Adams,3
Traoré,3
Genest,3
Boutoutaou,3
Boudjellaba,3
Félicitations,3
Al-husseini,3
Foucher,3
Fois,3
d’Iribarne,3
Vardon,3
Berthélémé,3
Caubel,3
Amouroux,3
Fekir,3
Taché,3
Arhab,3
Wargon,3
Onfray,2
Vogel,2
Vallat,2
Vergès,2
Vidard,2
Waintraub,2
Vitaa,2
Zadi,2
O.,2
d'Ornellas,2
ministre,2
Ménard,2
gallard,2
Mérimée,2
Nabi,2
Nakamura,2
d’Estaing,2
Neckartailfingen,2
Zuckerberg,2
William,2
Nicoud,2
Zagury,2
Pashinyan,2
Yasser,2
Yao,2
XVI,2
Nowak,2
XIV,2
Vaissié,2
Rosencher,2
Vaillant,2
Vaiana,2
Rajoelina,2
Sarazin,2
Ravel,2
Samar,2
Saldana-Cazenave,2
Saint-Paul,2
Razafintsalama,2
Muhammad,2
Rego,2
Récappé,2
Ruquier,2
Remadna,2
Rugy,2
Renard,2
Rudder,2
Royal,2
Roux,2
Roulent,2
Rivitz,2
Rougier,2
Robinson,2
Sarkoza,2
Sarkozy,2
RITZ,2
Sturgeon,2
Torres,2
Tintin,2
Thierry,2
Teichmann,2
Tebboune,2
Petitjean,2
Taquet,2
Szabo,2
Sylvain,2
Stora,2
Pétronin,2
Stefanini,2
Pittman,2
Poyraz,2
Sinz,2
Sindayigaya,2
Sidibe,2
Préau,2
Shalmani,2
Pujadas,2
#Darmanin,2
Krimi,2
Mugabe,2
Charnay,2
Cornut-Gentille,2
Corbaux,2
Consolat,2
Consigny,2
Congo,2
Colere,2
Chauvet,2
Charb,2
Costa,2
Chaliguina,2
Chalghoumi,2
Catherine,2
Castaignède,2
Carrimbacus,2
Campos,2
Cambadélis,2
Corselis,2
Cotillard,2
Buccio,2
Djedou,2
Estanguet,2
Ernotte,2
Eljay,2
Elen,2
DébatdelaDroite,2
Dorin,2
Do,2
Diouf,2
Covid,2
Diop,2
Destal,2
Desjardins,2
Demeestère,2
Dauce,2
Dansereau,2
Cra,2
Buisson,2
Briand,2
Fassin,2
Alzheimer,2
BERN,2
Aymane,2
Attentat,2
Anthony,2
Andasmas,2
Anaïs,2
Anafé,2
Ali,2
Bacharan,2
Al-Khelaïfi,2
Al,2
Abdul,2
Abad,2
Abaaoud,2
A.O.,2
9,2
Ba,2
Bachelet,2
Bretagne,2
Berger,2
Brelet,2
Boyer,2
Bobic,2
Birnbaum,2
Bilal,2
Biguinet,2
Berlioux,2
Benzema,2
Bahman,2
Bent,2
Bencheikh,2
Bay,2
Battisti,2
Bastide,2
Barbe,2
Bandi,2
Eveno,2
Fatima,2
Moukanas,2
Lilla,2
Maillard,2
Léglise,2
Ly,2
Lutz,2
Ludo,2
Louis,2
Livolsi,2
Lignier,2
Mandela,2
Levavasseur,2
Leroy,2
Lawrence,2
Laurens,2
Lafont,2
Laden,2
Kurdi,2
Mamadou,2
Mandement,2
#DirectZemmour,2
Mihoub,2
Morrison,2
Montfortains,2
Mongaillard,2
Moix,2
Mohammed,2
Mioche,2
Millet,2
Michèle,2
Manna,2
Merkel,2
Meric,2
Mercuri,2
Mayer,2
Martres,2
Marianne,2
Marca,2
Kum,2
Khomeini,2
Ferlay,2
Gasparutto,2
Gouget,2
Giscard,2
Giros,2
Giraud,2
Georgina,2
Gentillet,2
Gaulle,2
Garat,2
Gérard,2
Fuller,2
Fourquet,2
Fonteneau,2
Fogiel,2
Filippi,2
Ferreira,2
Ferrari,2
Grau,2
Habeck,2
Kermiche,2
J.,2
Karim,2
Kadhafi,2
Jésus,2
Jordana,2
Johnson,2
Jean-Michel,2
Javid,2
Issam,2
Hadj,2
Inès,2
Intriago,2
Hausalter,2
Hassani,2
Harpon,2
Hamida,2
Hafiz,2
🛑,2
