People,Somme des valeurs
Macron,171
Président,94
Louadj,69
Déby,52
Ghali,47
Barkhane,47
Wagner,41
Dupuy,40
Parly,36
ministre,35
IBK,32
Ouattara,29
Haftar,29
Cissé,26
Lavrov,26
Tebboune,25
Gnassingbé,25
République,23
Habré,23
Hogard,23
Keïta,22
Traoré,22
Goïta,22
Soufi,21
Condé,21
Attar,20
Apata,20
Normand,20
Fani,20
Lounnas,20
Sall,20
Maïga,20
Sambe,19
Drian,19
Buyoya,19
Sidibé,18
Arafat,17
Varenne,16
Talon,16
Bozizé,16
Ziguélé,16
Saleh,16
Kamto,16
Trump,15
Biya,15
Poutine,15
Klohi,15
Issoufou,14
Bouteflika,14
Mara,14
Dicko,14
VI,14
Lamamra,13
Yark,13
Compaoré,13
Zemmour,13
Kaboré,13
Tine,13
Abderrahim,13
Kam,13
Freund,12
Jammeh,12
Bigot,12
Ouane,12
Gbagbo,12
Keita,12
Touré,11
Koufa,11
Borkane,11
Pétronin,11
Zoundi,10
Thiam,10
Trudeau,10
Diallo,10
Hamdi,10
Sarr,10
Kakry,10
Lahlou,10
Darmanin,9
Pham,9
Cedeao,9
Boukadoum,9
Desfourneaux,9
Kadhafi,9
Ferdiani,9
Sidati,9
al-Sahraoui,9
Itno,9
Assimi,9
Roukiatou,9
Sylla,8
Sidaoui,8
Coulibaly,8
Issa,8
Gompertz,8
Diop,8
Fabius,8
Leyen,8
Diagne,8
Erdogan,8
Sankara,8
Droukdel,8
Diakité,8
Tenkeu,8
Sanoussi,8
Oumarou,8
Biden,8
Zoubir,8
togolais,8
turc,8
malien,8
Jordanov,7
Saillans,7
Chérif,7
Floyd,7
Ndadaye,7
Ibn,7
Derrar,7
Barrow,7
Ahmed,7
Traboulsi,7
Hafid,7
Belkhayate,7
Guirassy,7
Gallagher,6
Achille,6
tchadien,6
Ag,6
Qaeda,6
Sputnik,6
Prats,6
Djossou,6
Alliot-Marie,6
Soro,6
Eboutou,6
Taama,6
Koulibaly,6
Bouvier,6
Coulon,6
Makon,6
Baptiste,6
Ali,6
Khelifi,6
Taleb,6
Müller,6
Beau,6
Bazoum,5
Adjamagbo-Johnson,5
Sy,5
Freeland,5
REP,5
Alioune,5
Gadio,5
Fakoly,5
Igué,5
Haram,5
Huyghe,5
Afrikajom,5
Irini,5
Guterrez,5
Mélenchon,5
Nialbé,5
Chouiter,5
Conruyt,5
Aïfa,5
Trinquand,5
César,5
vice-Premier,5
Pen,5
Olympio,5
Khouma,5
Center,5
Niasse,5
Nkurunziza,5
Bendjelloun,5
Blasco,5
Ndayishimiye,5
Dosseh,5
Bakayoko,5
Bouaré,5
Bouamama,5
Bagayoko,4
Kacimi,4
Koalaga,4
Locht,4
KABORE,4
Sawadogo,4
Kira,4
Hennis-Plasschaert,4
Hassan,4
Mackinder,4
Sid’Ahmed,4
Kinda,4
Sarkozy,4
Jhinaoui,4
Annabi,4
Kebbab,4
algérien,4
Šekerinska,4
Koike,4
Biloa,4
Fadel,4
Diabaté,4
Moderan,4
Stora,4
tunisien,4
Bictogo,4
Muller,4
Boubou,4
Ramadan,4
Blaise,4
Ebogo,4
Blinken,4
Dièye,4
Nasr,4
Dris,4
Mili,4
Merkel,4
Kodheli,4
Chengriha,4
Guen,4
Guei,4
Soumaré,4
Robles,4
Raoult,4
Abdoulaye,4
Cheick,4
Vilmer,4
Nubukpo,4
Philippe,3
Nguini,3
Korendyasov,3
français,3
Konaté,3
Oumansour,3
Saoudi,3
N’Guessan,3
Pinochet,3
Laïchoubi,3
Maduro,3
Poussou,3
Alajouanine,3
Roland,3
Rwasa,3
Mamoun,3
Ahouansou,3
M.Sarkozy,3
M.Laïchoubi,3
Mbella,3
Lô,3
Anderson,3
Sangho,3
Mira,3
Mono,3
Mushikiwabo,3
Mahdi,3
N'Diaye,3
Libog,3
Ramdane,3
Kaba,3
Toloba,3
Bertrand,3
Hollande,3
Callamard,3
Belkaid,3
Hissène,3
Herzberger-Fofana,3
Fatou,3
Boura,3
Hassane,3
Hamlat,3
Djemal,3
Togo,3
Son-Forget,3
Djinko,3
Yehia,3
Benyahia,3
Djounguep,3
Goudé,3
Yazid,3
Ginolin,3
Gnoumou,3
Gaulle,3
Doumbouya,3
Kipré,3
Sterdyniak,3
Suleman,3
Babou,3
Bezos,3
Kananura,3
Bachelot,3
Chergui,3
Balima,3
Sung,3
Keumayou,3
Toupane,3
Davido,3
Ilitchev,3
Beko,3
Bilal,3
Savadogo,3
Huberson,3
Pougin,2
Primakov,2
Tapsoba,2
Takouba,2
Tanwalbougou,2
Sarraj,2
Yabi,2
Tesla,2
Yahaya,2
Polanski,2
Timbiné,2
Pigné,2
Wilmès,2
Peuls,2
Petronin,2
Pereira,2
Payan,2
Pauchet,2
Varvelli,2
Vandeput,2
yéménite,2
Parkanová,2
Séga,2
Ousmane,2
SyllaAdama,2
Sid’Ahmed:,2
Salah,2
Salgado,2
syrien,2
suprême,2
Sanchez,2
Sangare,2
Sissoko,2
Sankaré,2
Yombi,2
al-Annabi,2
russe,2
al-Baghdadi,2
publique,2
mauritanien,2
Saïed,2
burkinabé,2
Sahéliens,2
Sitharaman,2
Ziari,2
Sogadji,2
Rabati,2
Rademacher,2
Stenin,2
Stanley,2
Raincourt,2
Satan,2
