People,Somme des valeurs
Barkhane,577
Macron,235
Washington,161
Tshisekedi,127
Ouattara,124
Ahmed,105
Kabila,99
Condé,88
Biya,86
Sall,76
Gbagbo,72
Déby,71
Bozizé,70
IBK,67
Wagner,65
Touadéra,62
Dicko,60
ministre,57
Bongo,49
Trump,48
Biden,46
Parly,46
Talon,46
Nagy,40
Drian,36
Haftar,32
Pham,32
Bazoum,29
Sankara,28
Lavrov,28
Kaboré,27
Koufa,26
Touadera,25
Nyusi,22
Guelleh,22
Goïta,21
Palma,19
Poutine,18
Itno,18
Deby,17
Saïed,17
Issoufou,17
Doumbouya,17
Nkurunziza,17
Kamto,15
Diallo,15
République,15
Assoumani,15
Bouteflika,15
el-Béchir,14
Tebboune,14
Townsend,12
Jammeh,12
Lacroix,11
Blinken,11
Cissé,10
Goudé,10
Petronin,10
Rajoelina,10
Doumbia,10
Soro,10
Guterres,10
Lecointre,10
tchadien,9
Monusco,9
Keïta,9
Pompeo,9
Zakzaky,9
Buhari,9
Emié,8
Ndayishimiye,8
Cavusoglu,8
Opex360,8
Ouane,8
Kadhafi,8
Akufo-Addo,8
Fillon,8
Hale,7
Maïga,7
Hammer,7
Mnangagwa,7
Boni,7
Sy,7
Barkane,7
Kadima,7
Diop,7
Kafolo,7
Mahamat,7
Castaner,7
Bédié,7
Mekonnen,7
Ansarallah,6
Touré,6
Sales,6
Bemba,6
Kahimbi,6
Arafat,6
Tshibala,6
Netanyahu,6
Monsieur,6
Perenco,6
Addo,6
Museveni,6
Nasrallah,6
Ondimba,6
Camara,6
Spacecom,5
Zelensky,5
Faki,5
Kagame,5
Kiir,5
Sarkozy,5
Siewe,5
Ping,5
B2Gold,5
Abiy,5
Mba,5
Diaw,5
Prophète,5
Djotodia,5
Yuma,5
Burhan,5
Huberson,4
Shekau,4
N’Guessan,4
Mugabe,4
Haram,4
Sedal,4
Austin,4
Sidati,4
Ilunga,4
Nguesso,4
Hamdok,4
Mumin,4
Muharram,4
Ma,4
Kagamé,4
Mohamed,4
Miningou,4
Loiseau,4
Michel,4
Sanogo,4
Kazemi,4
Keita,4
Khadafi,4
Kobine,4
Ali,4
Saab,4
Kouranov,4
Rohani,4
Machar,4
Mahoney,4
White,4
Juba,4
Dori,4
Blair,4
Sonangol,4
Coulibaly,4
Vircoulon,4
Sonko,4
Sinohydro,4
Dondra,4
Barrow,4
Goita,4
Dembélé,4
Tebboun,4
Vizy,4
Barry,4
Ekema,4
Al-Rumaithi,3
Mboso,3
Rovera,3
Lansana,3
Mandy,3
Lungu,3
Zayed,3
Mamadou,3
Rafanoharana,3
Renouard,3
Lemoyne,3
Tramadol,3
Lapid,3
Daw,3
Bouba,3
Ambassagou,3
Burton,3
Obiang,3
Onanga,3
Williams,3
Ndayeshimiye,3
Wade,3
Chang,3
Abdoulaye,3
Chengriha,3
Oury,3
Citoyen,3
Mukena,3
Compaoré,3
Moïse,3
Moussa-Adamo,3
Achieng,3
Pereira,3
Mondjo,3
Da,3
Lamamra,3
Sidibé,3
Loudiyi,3
Gromyko,3
al-Sahraoui,3
Gates,3
Atlantiste,3
Imam,3
Song,3
Sivillon,3
François-Xavier,3
Zipline,3
Tang,3
Azali,3
Jinping,3
Green,3
Harris,3
Huitfeldt,3
Koné,3
Amisi,3
Essakane,3
Guen,3
Assomo,3
Numbi,3
Walton,2
Wattao,2
Philippe,2
zambien,2
Tshisekdi,2
Sassou,2
Yesskoo,2
Sassou-Nguesso,2
Variant,2
Perrin,2
N’Daw,2
Vaz,2
al-Béchir,2
al-Dayer,2
Ousmane,2
Oumarou,2
Obama,2
Sima,2
Sido,2
Sawadogo,2
Yeshanew,2
Yahaya,2
Shoukry,2
Sebaie,2
al-Burhan,2
Yehia,2
Zuckerberg,2
Opex.360,2
français,2
Pigné,2
Togo,2
Rehanna,2
Sangaré,2
Sidi,2
Toboula,2
Salva,2
Tartag,2
Riabkov,2
Tchagba,2
la,2
Roosevelt,2
Salah,2
Said,2
Rubuye,2
kényan,2
Titorenko,2
Tito,2
Saga,2
Redwan,2
Tanwalbougou,2
Wemba,2
Yungao,2
Yi,2
Sahéliens,2
Zodi,2
Pona,2
centrafricain,2
Sonacop,2
Pr,2
Youssoufa,2
Praia,2
Prigojine,2
Toufik,2
Président,2
Pétronin,2
Qassemi,2
Stöckli,2
malien,2
Raïssi,2
Traoré,2
Abarri,2
Normand,2
Nkana,2
Droukdel,2
Dorsey,2
Djadjidja,2
Dine,2
Diarra,2
Diagana,2
Diabré,2
Denard,2
Defourny,2
Danjean,2
César,2
Cummings,2
Coons,2
Conte,2
Construire,2
Dvory,2
Ekenge,2
El-Qosi,2
Feltman,2
Gayle,2
Ganamé,2
Gakosso,2
Fuchs,2
François,2
Fofana,2
Fayulu,2
Erdogan,2
Faustin,2
Farran,2
Farama,2
Faire,2
Faidherbe,2
Essen,2
Chaxel,2
Chahed,2
Campaoré,2
Armory,2
Badjeck,2
Bachir,2
Baba,2
Attanasio,2
Asar,2
Asaf,2
Amiral,2
Barril,2
Amir-Abdollahian,2
Amadou,2
Alen,2
Ahoussou-Kouadio,2
Agouna,2
Abdelaziz,2
Barre,2
Becker,2
Camatte,2
Boukar,2
Béchir,2
Bâ,2
Brown,2
Brou,2
Bozize,2
Boumzar,2
Boughali,2
Bedié,2
Boudjemaa,2
Borrell,2
Birahima,2
Berhanu,2
Bensalah,2
Beko,2
Ghaly,2
Gleicher,2
Gros-Verheyde,2
Megersa,2
Mokpeme,2
Mohammad,2
Miski,2
Midal,2
Mekele,2
Meka,2
Mbacké,2
Morila,2
Mautu,2
Mass,2
Maréchal,2
Maryam,2
Mandoukou,2
Maio,2
Monteiro,2
Mossis,2
Mahamane,2
Namaki,2
Ngute,2
Ngrebada,2
Ngoh,2
Nette,2
Ndiaye,2
Ndabirabe,2
N'Guessan,2
Moubamba,2
Mwenz,2
Mwamba,2
Muyaya,2
Moussa,2
Mountakha,2
Mounkaila,2
Maiga,2
Maduro,2
Gueguen,2
Hussain,2
Kaou,2
Kabore,2
Jahanpour,2
Jaber,2
Ianni,2
III,2
Hultqvist,2
Kenyatta,2
Hoffmann,2
Hemidti,2
Hankins,2
Guillain-Barré,2
Gueye,2
Guerir,2
Kazagui,2
Kessy,2
MAIGA,2
Kéita,2
Lévy,2
Lemine,2
Abdallah,2
Layama,2
Larijani,2
Lambrecht,2
Koussey,2
Khanzadi,2
Kountché,2
Koum,2
Kouffa,2
Komissarov,2
Khomeiny,2
Khatibzadeh,2
éthiopien,2
