People,Somme des valeurs
Traoré,59
Macron,38
Ghali,27
Halimi,17
Barkhane,15
Ahmadou,14
Trump,14
Erdoğan,12
Nuland,11
Habib,11
Fleck,10
Hollande,9
Coulibaly,9
Déby,9
Poutine,8
Wagner,8
Adama,8
Foucher,8
Valls,7
Bathily,7
Washington,7
Itno,7
Assa,7
Omar,7
Lerner,7
Sarkozy,6
République,6
Louis,6
Kebbab,6
Niang,6
Lecointre,6
Mélenchon,6
Brakni,6
Biden,6
Bouhafs,5
Ryabkov,5
Zuckerberg,5
Himmler,5
Beghal,5
Marianne,5
Bigot,5
Sinclair,5
Seldhar,4
Francis,4
Président,4
Berry,4
Maïga,4
Fenech,4
Huyghe,4
Ihuellou,4
Droukdal,4
Kersten,4
Keïta,4
Cattigan,4
Couriol,4
ministre,4
Koufa,4
Élise,4
Livèze,3
Pépita,3
Mitterrand,3
Richard,3
Kozak,3
Charlie,3
Guéant,3
Ayres,3
Hitler,3
Zagury,3
Barrière,3
Bensussan,3
Pelloux,3
Bouteldja,3
Soral,3
Lelièvre,3
Ouattara,3
Stora,3
Taylor,3
Claudine,3
Soros,3
Othman,2
Pasierbski,2
Abdelmalek,2
Philippe,2
Prezidenta,2
Schaffhauser,2
Shekau,2
Shurkin,2
Soulages,2
Sportolloni,2
Terrafirma,2
Thoen,2
Zemmour,2
al-Baghdadi,2
al-Saharaoui,2
louvet,2
Shabazz,2
Joly,2
Monsieur,2
Buhari,2
Césars,2
Conrad,2
Clermont-Tonnerre,2
Cissé,2
Charb,2
Capital,2
Cameron,2
Cabu,2
Behrami,2
Michel,2
Bardella,2
Bannon,2
Attali,2
Atar,2
Angelis,2
Alimi,2
Al-Qaëda,2
Agouna,2
Dautry,2
Dicko,2
Dimattina,2
Djerma,2
Michael,2
Lugan,2
Louange,2
Lassana,2
Kouchner,2
Kadhafi,2
Kacimi,2
Kaboré,2
Jinping,2
Indoor,2
IBK,2
Henderson,2
Fodio,2
Flandrin,2
February,2
Dumas,2
Draper,2
Émié,2
